taxonkey,am_sid,spp
100025,fis-22852,brama brama
100025,fis-23041,brotula barbata
100025,fis-121542,brotula clarkae
100025,fis-32293,brotula multibarbata
100025,fis-49782,callechelys bilinearis
100025,fis-124168,callechelys eristigma
100025,fis-23938,callechelys guineensis
100025,fis-131212,callechelys lutea
100025,fis-23417,carangoides fulvoguttatus
100025,fis-31833,centropomus nigrescens
100025,fis-29789,centropomus poeyi
100025,fis-31835,centropomus viridis
100025,fis-23432,channomuraena vittata
100025,fis-28380,chirodactylus grandis
100025,fis-128156,cilus gilberti
100025,fis-115604,coelorinchus bollonsi
100025,fis-127052,coelorinchus gladius
100025,fis-126623,coelorinchus macrorhynchus
100025,fis-14615,coelorinchus maculatus
100025,fis-115697,coelorinchus quadricristatus
100025,fis-126636,coelorinchus radcliffei
100025,fis-159538,coelorinchus shcherbachevi
100025,fis-159539,coelorinchus sheni
100025,fis-144005,coelorinchus spinifer
100025,fis-28704,colistium guentheri
100025,fis-28705,colistium nudipinnis
100025,fis-31912,conger cinereus
100025,fis-22866,conger conger
100025,fis-22773,conger esculentus
100025,fis-22867,conger oceanicus
100025,fis-121247,conger orbignianus
100025,fis-29855,conger triporiceps
100025,fis-35495,conger verreauxi
100025,fis-28180,congresox talabonoides
100025,fis-29358,coryphaena equiselis
100025,fis-22215,coryphaena hippurus
100025,fis-27025,coryphaenoides acrolepis
100025,fis-32846,coryphaenoides longifilis
100025,fis-48922,coryphaenoides rudis
100025,fis-132060,cryptacanthodes giganteus
100025,fis-29874,cryptacanthodes maculatus
100025,fis-27531,cubiceps capensis
100025,fis-23453,cubiceps gracilis
100025,fis-29879,cubiceps paradoxus
100025,fis-25684,cymatoceps nasutus
100025,fis-28979,cynoponticus coniceps
100025,fis-31162,cynoponticus ferox
100025,fis-23455,cynoponticus savanna
100025,fis-23461,cynoscion steindachneri
100025,fis-28025,cynoscion stolzmanni
100025,fis-48017,cynoscion xanthulus
100025,fis-29136,dactylophora nigricans
100025,fis-23468,dalophis imberbis
100025,fis-54416,davidijordania lacertina
100025,fis-27319,dermatolepis dermatolepis
100025,fis-29909,desmodema lorum
100025,fis-24539,desmodema polystictum
100025,fis-162863,diagramma centurio
100025,fis-139084,diagramma labiosum
100025,fis-32096,diastobranchus capensis
100025,fis-29365,dissostichus eleginoides
100025,fis-32146,dissostichus mawsoni
100025,fis-24005,echidna catenata
100025,fis-27264,echidna peli
100025,fis-29007,echiophis brunneus
100025,fis-24006,echiophis intertinctus
100025,fis-24007,echiophis punctifer
100025,fis-23115,eleginops maclovinus
100025,fis-29936,elops affinis
100025,fis-31830,elops hawaiensis
100025,fis-26850,enchelycore anatina
100025,fis-23485,enchelycore nigricans
100025,fis-28981,enchelycore octaviana
100025,fis-26546,enchelycore pardalis
100025,fis-26152,enchelycore schismatorhynchus
100025,fis-26153,enchelynassa canina
100025,fis-31618,epinephelus albomarginatus
100025,fis-32305,epinephelus bruneus
100025,fis-27340,epinephelus caninus
100025,fis-26496,epinephelus chabaudi
100025,fis-33251,epinephelus cifuentesi
100025,fis-26136,epinephelus coioides
100025,fis-26498,epinephelus daemelii
100025,fis-29953,epinephelus drummondhayi
100025,fis-25402,epinephelus goreensis
100025,fis-26139,epinephelus lanceolatus
100025,fis-115487,epinephelus latifasciatus
100025,fis-26113,epinephelus malabaricus
100025,fis-26509,epinephelus multinotatus
100025,fis-32314,epinephelus posteli
100025,fis-31413,epinephelus tukula
100025,fis-32844,epinnula magistralis
100025,fis-24562,erilepis zonifer
100025,fis-29964,etelis coruscans
100025,fis-23494,etelis oculatus
100025,fis-24609,eumecichthys fiski
100025,fis-53882,eumegistus illustris
100025,fis-28473,evistias acutirostris
100025,fis-32392,evoxymetopon taeniatus
100025,fis-31390,fistularia commersonii
100025,fis-30020,fistularia tabacaria
100025,fis-149248,gadella molokaiensis
100025,fis-114154,gadomus aoteanus
100025,fis-29402,gasterochisma melampus
100025,fis-23136,genypterus blacodes
100025,fis-59579,genypterus brasiliensis
100025,fis-23137,genypterus capensis
100025,fis-46971,genypterus chilensis
100025,fis-46972,genypterus maculatus
100025,fis-56745,genypterus tigerinus
100025,fis-35919,glaucosoma hebraicum
100025,fis-134377,gorgasia barnesi
100025,fis-53446,gorgasia japonica
100025,fis-159571,gorgasia thamani
100025,fis-21661,grammatorcynus bicarinatus
100025,fis-13152,guentherus altivela
100025,fis-26744,gymnomuraena zebra
100025,fis-22776,gymnosarda unicolor
100025,fis-128237,gymnothorax albimarginatus
100025,fis-32366,gymnothorax berndti
100025,fis-32568,gymnothorax breedeni
100025,fis-28982,gymnothorax castaneus
100025,fis-63258,gymnothorax conspersus
100025,fis-28983,gymnothorax dovii
100025,fis-31370,gymnothorax favagineus
100025,fis-25598,gymnothorax flavimarginatus
100025,fis-32409,gymnothorax funebris
100025,fis-26157,gymnothorax hepaticus
100025,fis-141259,gymnothorax intesi
100025,fis-143457,gymnothorax isingteena
100025,fis-26084,gymnothorax javanicus
100025,fis-26745,gymnothorax johnsoni
100025,fis-27265,gymnothorax maderensis
100025,fis-25599,gymnothorax meleagris
100025,fis-24042,gymnothorax mordax
100025,fis-26587,gymnothorax moringa
100025,fis-26553,gymnothorax nudivomer
100025,fis-141265,gymnothorax nuttingi
100025,fis-141776,gymnothorax phalarus
100025,fis-13931,gymnothorax pictus
100025,fis-33145,gymnothorax polygonius
100025,fis-51063,gymnothorax polyuranodon
100025,fis-62604,gymnothorax porphyreus
100025,fis-27689,gymnothorax prasinus
100025,fis-62088,gymnothorax punctatus
100025,fis-32370,gymnothorax steindachneri
100025,fis-25373,gymnothorax undulatus
100025,fis-26588,gymnothorax vicinus
100025,fis-23548,hippoglossus hippoglossus
100025,fis-29418,hippoglossus stenolepis
100025,fis-26350,histiobranchus bathybius
100025,fis-143711,hoplunnis megista
100025,fis-123123,hoplunnis pacifica
100025,fis-149520,hoplunnis schmidti
100025,fis-139425,hoplunnis sicarius
100025,fis-24054,huso huso
100025,fis-127050,hymenocephalus antraeus
100025,fis-163776,hyporthodus ergastularius
100025,fis-163777,hyporthodus flavolimbatus
100025,fis-164463,hyporthodus haifensis
100025,fis-163778,hyporthodus mystacinus
100025,fis-163779,hyporthodus nigritus
100025,fis-163781,hyporthodus niveatus
100025,fis-163782,hyporthodus octofasciatus
100025,fis-163783,hyporthodus quernus
100025,fis-163784,hyporthodus septemfasciatus
100025,fis-30147,icosteus aenigmaticus
100025,fis-53628,ijimaia dofleini
100025,fis-32657,ijimaia loppei
100025,fis-164254,istiompax indica
100025,fis-22765,istiophorus albicans
100025,fis-22766,istiophorus platypterus
100025,fis-150001,japonolycodes abei
100025,fis-164253,kajikia albida
100025,fis-163398,kajikia audax
100025,fis-114086,labichthys yanoi
100025,fis-23580,lampris guttatus
100025,fis-32216,lampris immaculatus
100025,fis-27226,lamprogrammus brunswigi
100025,fis-132055,lamprogrammus shcherbachevi
100025,fis-53696,lateolabrax latus
100025,fis-22888,lates calcarifer
100025,fis-23582,lepidocybium flavobrunneum
100025,fis-23173,lepidopus caudatus
100025,fis-30195,lepidopus fitchi
100025,fis-150150,leptomelanosoma indicum
100025,fis-27098,lepturacanthus pantului
100025,fis-23174,lichia amia
100025,fis-29435,lopholatilus chamaeleonticeps
100025,fis-53631,lophotus capellei
100025,fis-30248,lophotus lacepede
100025,fis-23613,lutjanus aratus
100025,fis-23625,lutjanus cyanopterus
100025,fis-23627,lutjanus dentatus
100025,fis-30255,luvarus imperialis
100025,fis-114222,lycenchelys maoriensis
100025,fis-56837,lycodes macrolepis
100025,fis-116972,lycodes ocellatus
100025,fis-116973,lycodes paucilepidotus
100025,fis-54437,lycodes sigmatoides
100025,fis-54435,lycodes tanakae
100025,fis-54442,lycodes uschakovi
100025,fis-30274,macruronus capensis
100025,fis-29446,macruronus magellanicus
100025,fis-23632,macruronus novaezelandiae
100025,fis-29447,makaira nigricans
100025,fis-27715,masturus lanceolatus
100025,fis-2518,megalops atlanticus
100025,fis-22905,merluccius australis
100025,fis-149221,merluccius hernandezi
100025,fis-29038,micropogonias altipinnis
100025,fis-27712,miracorvina angolensis
100025,fis-23639,mola mola
100025,fis-23641,molva dypterygia
100025,fis-22730,molva molva
100025,fis-28665,moringua ferruginea
100025,fis-48113,moringua javanica
100025,fis-22911,morone saxatilis
100025,fis-28987,muraena argus
100025,fis-35639,muraena clepsydra
100025,fis-30321,muraena helena
100025,fis-27267,muraena melanotis
100025,fis-32410,muraena robusta
100025,fis-25672,muraenesox bagio
100025,fis-22912,muraenesox cinereus
100025,fis-164603,muraenolepis evseenkoi
100025,fis-24803,mycteroperca jordani
100025,fis-23649,mycteroperca microlepis
100025,fis-33369,mycteroperca prionura
100025,fis-27393,mycteroperca rosacea
100025,fis-30328,mycteroperca xenarcha
100025,fis-24136,myrichthys breviceps
100025,fis-26828,myrichthys colubrinus
100025,fis-24137,myrichthys maculosus
100025,fis-24138,myrichthys ocellatus
100025,fis-33171,mystriophis crosnieri
100025,fis-27296,mystriophis rostellatus
100025,fis-134474,nemadactylus gayi
100025,fis-29137,nemadactylus valenciennesi
100025,fis-30348,nematistius pectoralis
100025,fis-27302,nemichthys curvirostris
100025,fis-145225,nemichthys larseni
100025,fis-30349,nemichthys scolopaceus
100025,fis-32421,nesiarchus nasutus
100025,fis-134057,nettastoma falcinaris
100025,fis-30362,notacanthus chemnitzii
100025,fis-156254,oncorhynchus clarkii
100025,fis-22917,oncorhynchus kisutch
100025,fis-22921,oncorhynchus tshawytscha
100025,fis-130876,ophichthus altipennis
100025,fis-26468,ophichthus cephalozona
100025,fis-117773,ophichthus cylindroideus
100025,fis-49780,ophichthus gomesii
100025,fis-162314,ophichthus lithinus
100025,fis-52372,ophichthus macrochir
100025,fis-23676,ophichthus ophis
100025,fis-61171,ophichthus rutidoderma
100025,fis-29457,ophiodon elongatus
100025,fis-22805,orcynopsis unicolor
100025,fis-26110,pagrus auratus
100025,fis-24858,paralichthys californicus
100025,fis-28351,paraplotosus albilabris
100025,fis-26830,pisodonophis boro
100025,fis-26829,pisodonophis cancrivorus
100025,fis-26071,plectorhinchus albovittatus
100025,fis-172427,plectorhinchus caeruleonothus
100025,fis-26517,plectropomus laevis
100025,fis-32352,plectropomus pessuliferus
100025,fis-32321,plectropomus punctatus
100025,fis-32700,plotosus canius
100025,fis-164006,poecilopsetta multiradiata
100025,fis-22732,pollachius pollachius
100025,fis-23728,pollachius virens
100025,fis-26111,polydactylus macrochir
100025,fis-115175,polydactylus quadrifilis
100025,fis-22932,polyprion americanus
100025,fis-22933,polyprion oxygeneios
100025,fis-25193,protonibea diacanthus
100025,fis-27717,pseudechidna brummeri
100025,fis-26914,pseudobalistes naufragium
100025,fis-35734,pseudopercis numida
100025,fis-123198,pseudopercis semifasciata
100025,fis-24927,rachycentron canadum
100025,fis-30575,regalecus glesne
100025,fis-23237,reinhardtius hippoglossoides
100025,fis-27035,rexea solandri
100025,fis-32916,rhinomuraena quaesita
100025,fis-143395,rhynchoconger flavus
100025,fis-114618,rhynchoconger guppyi
100025,fis-30588,ruvettus pretiosus
100025,fis-27303,saccopharynx ampullaceus
100025,fis-33183,saccopharynx thalassa
100025,fis-22815,sarda australis
100025,fis-1099,sarda lineolata
100025,fis-22817,sarda orientalis
100025,fis-143738,saurenchelys lateromaculata
100025,fis-159655,scarus coeruleus
100025,fis-23796,sciaenops ocellatus
100025,fis-22819,scomberomorus cavalla
100025,fis-22820,scomberomorus commerson
100025,fis-22823,scomberomorus koreanus
100025,fis-22824,scomberomorus lineolatus
100025,fis-22826,scomberomorus niphonius
100025,fis-29511,scomberomorus plurilineatus
100025,fis-22828,scomberomorus semifasciatus
100025,fis-22829,scomberomorus sinensis
100025,fis-33887,scombrops boops
100025,fis-46992,scombrops oculatus
100025,fis-51186,scorpaenodes africanus
100025,fis-134409,scuticaria okinawae
100025,fis-13941,scuticaria tigrina
100025,fis-30632,sebastes borealis
100025,fis-24966,sebastes levis
100025,fis-30652,seriola hippos
100025,fis-29524,seriola quinqueradiata
100025,fis-27245,spectrunculus grandis
100025,fis-31200,sphyraena afra
100025,fis-30668,sphyraena argentea
100025,fis-31825,sphyraena ensis
100025,fis-32770,sphyraena idiastes
100025,fis-32589,sphyraena putnamae
100025,fis-32590,sphyraena qenie
100025,fis-33815,sphyraena viridensis
100025,fis-53700,stereolepis doederleini
100025,fis-30676,stereolepis gigas
100025,fis-52951,strongylura anastomella
100025,fis-25008,strongylura exilis
100025,fis-27259,strongylura senegalensis
100025,fis-27070,strophidon sathete
100025,fis-30683,sudis hyalina
100025,fis-22960,symphorus nematophorus
100025,fis-32377,synaphobranchus affinis
100025,fis-52149,synaphobranchus brevidorsalis
100025,fis-132269,synaphobranchus oregoni
100025,fis-26780,tentoriceps cristatus
100025,fis-30712,tetrapturus angustirostris
100025,fis-30713,tetrapturus belone
100025,fis-8203,tetrapturus georgii
100025,fis-22832,thunnus alalunga
100025,fis-22833,thunnus albacares
100025,fis-22835,thunnus maccoyii
100025,fis-22836,thunnus obesus
100025,fis-123736,thunnus orientalis
100025,fis-49220,thunnus thynnus
100025,fis-22838,thunnus tonggol
100025,fis-32497,thyrsitoides marleyi
100025,fis-30724,trachinotus africanus
100025,fis-30736,trachipterus altivelis
100025,fis-25029,trachipterus arcticus
100025,fis-30737,trachipterus fukuzakii
100025,fis-53649,trachipterus ishikawae
100025,fis-21960,trachipterus jacksonensis
100025,fis-23868,trachipterus trachypterus
100025,fis-30742,trichiurus lepturus
100025,fis-23314,tylosurus acus
100025,fis-23877,tylosurus acus
100025,fis-27261,tylosurus acus
100025,fis-33140,tylosurus acus
100025,fis-60567,tylosurus choram
100025,fis-58684,tylosurus crocodilus
100025,fis-118742,tylosurus fodiator
100025,fis-127725,tylosurus pacificus
100025,fis-23424,ulua mentalis
100025,fis-31012,umbrina ronchus
100025,fis-143722,venefica procera
100025,fis-52166,venefica tentaculata
100025,fis-34636,xenomystax atrarius
100025,fis-29576,xiphias gladius
100025,fis-52183,xyrias revulsus
100025,fis-32596,zeus capensis
100025,fis-23893,zu cristatus
100025,fis-34086,zu elongatus
100025,fis-60060,merluccius gayi
100035,fis-23329,alosa caspia
100035,fis-23334,alosa pseudoharengus
100035,fis-116714,alosa tanaica
100035,fis-29610,amblygaster clupeoides
100035,fis-23339,amblygaster leiogaster
100035,fis-23340,amblygaster sirm
100035,fis-23369,anodontostoma chacunda
100035,fis-23370,anodontostoma selangkat
100035,fis-29638,anodontostoma thailandiae
100035,fis-29739,brevoortia gunteri
100035,fis-29740,brevoortia patronus
100035,fis-23443,clupanodon thrissa
100035,fis-29344,clupea harengus
100035,fis-153539,clupea pallasii
100035,fis-23448,clupeonella cultriventris
100035,fis-23482,dorosoma petenense
100035,fis-29959,escualosa elongata
100035,fis-23493,escualosa thoracata
100035,fis-23495,ethmalosa fimbriata
100035,fis-23496,ethmidium maculatum
100035,fis-58133,gilchristella aestuaria
100035,fis-23533,harengula clupeola
100035,fis-23534,harengula humeralis
100035,fis-30087,harengula jaguana
100035,fis-23535,harengula thrissina
100035,fis-23538,herklotsichthys blackburni
100035,fis-23539,herklotsichthys castelnaui
100035,fis-23540,herklotsichthys dispilonotus
100035,fis-30098,herklotsichthys gotoi
100035,fis-23541,herklotsichthys koningsbergeri
100035,fis-30100,herklotsichthys lippa
100035,fis-30099,herklotsichthys lossei
100035,fis-23542,herklotsichthys punctatus
100035,fis-23543,herklotsichthys quadrimaculatus
100035,fis-23544,herklotsichthys spilura
100035,fis-23545,hilsa kelee
100035,fis-23557,hyperlophus vittatus
100035,fis-23573,jenkinsia lamprotaenia
100035,fis-30152,jenkinsia majua
100035,fis-23574,jenkinsia stolifera
100035,fis-23575,konosirus punctatus
100035,fis-150746,lile nigrofasciata
100035,fis-23594,lile piquitinga
100035,fis-23595,lile stolifera
100035,fis-30346,nematalosa galatheae
100035,fis-30347,nematalosa japonica
100035,fis-23662,nematalosa nasus
100035,fis-30438,opisthonema berlangai
100035,fis-23680,opisthonema bulleri
100035,fis-23681,opisthonema libertate
100035,fis-30439,opisthonema medirastre
100035,fis-23682,opisthonema oglinum
100035,fis-30463,pellonula leonensis
100035,fis-23727,pliosteostoma lutipinnis
100035,fis-23755,ramnogaster arcuata
100035,fis-23765,sardina pilchardus
100035,fis-23766,sardinella albella
100035,fis-23767,sardinella atricauda
100035,fis-30592,sardinella aurita
100035,fis-30593,sardinella brachysoma
100035,fis-23768,sardinella brasiliensis
100035,fis-23769,sardinella fijiense
100035,fis-23770,sardinella fimbriata
100035,fis-23771,sardinella gibbosa
100035,fis-23772,sardinella hualiensis
100035,fis-155686,sardinella jussieu
100035,fis-30594,sardinella lemuru
100035,fis-30595,sardinella longiceps
100035,fis-23774,sardinella maderensis
100035,fis-30596,sardinella marquesensis
100035,fis-23775,sardinella melanura
100035,fis-30598,sardinella richardsoni
100035,fis-23776,sardinella rouxi
100035,fis-23777,sardinella sindensis
100035,fis-23779,sardinella zunasi
100035,fis-54081,sardinops sagax
100035,fis-23827,spratelloides delicatulus
100035,fis-23828,spratelloides gracilis
100035,fis-30670,spratelloides lewisi
100035,fis-30671,spratelloides robustus
100035,fis-23830,sprattus antipodum
100035,fis-23831,sprattus fuegensis
100035,fis-23832,sprattus muelleri
100035,fis-23833,sprattus novaehollandiae
100035,fis-23834,sprattus sprattus
100035,fis-23840,strangomera bentincki
100035,fis-23858,tenualosa toli
100036,fis-22735,acanthocybium solandri
100036,fis-29265,allothunnus fallai
100036,fis-29402,gasterochisma melampus
100036,fis-21661,grammatorcynus bicarinatus
100036,fis-22776,gymnosarda unicolor
100036,fis-22805,orcynopsis unicolor
100036,fis-22815,sarda australis
100036,fis-1099,sarda lineolata
100036,fis-22817,sarda orientalis
100036,fis-22819,scomberomorus cavalla
100036,fis-22820,scomberomorus commerson
100036,fis-22823,scomberomorus koreanus
100036,fis-22824,scomberomorus lineolatus
100036,fis-22826,scomberomorus niphonius
100036,fis-29511,scomberomorus plurilineatus
100036,fis-22828,scomberomorus semifasciatus
100036,fis-22829,scomberomorus sinensis
100036,fis-22832,thunnus alalunga
100036,fis-22833,thunnus albacares
100036,fis-22835,thunnus maccoyii
100036,fis-22836,thunnus obesus
100036,fis-123736,thunnus orientalis
100036,fis-49220,thunnus thynnus
100036,fis-22838,thunnus tonggol
100038,fis-29262,aculeola nigra
100038,fis-27240,aetobatus flagellum
100038,fis-171250,aetomylaeus caeruleofasciatus
100038,fis-28561,aetomylaeus milvus
100038,fis-27676,aetomylaeus nichofii
100038,fis-131850,amblyraja badia
100038,fis-132004,amblyraja doellojuradoi
100038,fis-131852,amblyraja hyperborea
100038,fis-131855,amblyraja jenseni
100038,fis-131853,amblyraja radiata
100038,fis-170054,anacanthobatis marmorata
100038,fis-142344,apristurus albisoma
100038,fis-161424,apristurus ampliceps
100038,fis-161400,apristurus australis
100038,fis-22998,apristurus brunneus
100038,fis-161427,apristurus bucephalus
100038,fis-29279,apristurus canutus
100038,fis-142259,apristurus fedorovi
100038,fis-22999,apristurus herklotsi
100038,fis-23000,apristurus indicus
100038,fis-29281,apristurus kampae
100038,fis-23002,apristurus laurussonii
100038,fis-29282,apristurus longicephalus
100038,fis-23003,apristurus macrorhynchus
100038,fis-23004,apristurus manis
100038,fis-156530,apristurus melanoasper
100038,fis-23005,apristurus microps
100038,fis-29285,apristurus parvipinnis
100038,fis-142346,apristurus pinguis
100038,fis-23006,apristurus platyrhynchus
100038,fis-29286,apristurus riveri
100038,fis-23008,apristurus saldanha
100038,fis-54720,aptychotrema vincentiana
100038,fis-115472,arhynchobatis asperrimus
100038,fis-161499,asymbolus galacticus
100038,fis-140641,asymbolus occiduus
100038,fis-140642,asymbolus pallidus
100038,fis-140639,asymbolus parvus
100038,fis-140692,asymbolus rubiginosus
100038,fis-140634,asymbolus submaculatus
100038,fis-23029,asymbolus vincenti
100038,fis-154251,atelomycterus baliensis
100038,fis-131407,atelomycterus fasciatus
100038,fis-29298,atelomycterus macleayi
100038,fis-24448,atelomycterus marmoratus
100038,fis-160935,atelomycterus marnkalha
100038,fis-63248,atlantoraja cyclophora
100038,fis-131990,atlantoraja platana
100038,fis-55409,bathyraja abyssicola
100038,fis-125142,bathyraja albomaculata
100038,fis-24308,bathyraja aleutica
100038,fis-35261,bathyraja andriashevi
100038,fis-123550,bathyraja bergi
100038,fis-125150,bathyraja brachyurops
100038,fis-52116,bathyraja caeluronigricans
100038,fis-160316,bathyraja cousseauae
100038,fis-52113,bathyraja diplotaenia
100038,fis-26346,bathyraja eatonii
100038,fis-131992,bathyraja fedorovi
100038,fis-61787,bathyraja griseocauda
100038,fis-24310,bathyraja interrupta
100038,fis-32091,bathyraja irrasa
100038,fis-52108,bathyraja isotrachys
100038,fis-52119,bathyraja lindbergi
100038,fis-127216,bathyraja longicauda
100038,fis-32092,bathyraja maccaini
100038,fis-127225,bathyraja macloviana
100038,fis-131458,bathyraja maculata
100038,fis-125159,bathyraja magellanica
100038,fis-158513,bathyraja mariposa
100038,fis-52115,bathyraja matsubarai
100038,fis-32093,bathyraja meridionalis
100038,fis-52118,bathyraja minispinosa
100038,fis-131461,bathyraja multispinis
100038,fis-26347,bathyraja murrayi
100038,fis-52117,bathyraja notoroensis
100038,fis-132557,bathyraja papilionifera
100038,fis-24311,bathyraja parmifera
100038,fis-27351,bathyraja richardsoni
100038,fis-127222,bathyraja scaphiops
100038,fis-131459,bathyraja schroederi
100038,fis-115474,bathyraja shuntovi
100038,fis-52129,bathyraja smirnovi
100038,fis-27677,bathyraja smithii
100038,fis-28825,bathyraja spinosissima
100038,fis-156241,bathyraja taranetzi
100038,fis-52109,bathyraja trachouros
100038,fis-24315,bathyraja trachura
100038,fis-35262,bathyraja tzinovskii
100038,fis-52110,bathyraja violacea
100038,fis-149483,benthobatis kreffti
100038,fis-32973,benthobatis marcida
100038,fis-131185,benthobatis moresbyi
100038,fis-173419,beringraja cortezensis
100038,fis-173420,beringraja inornata
100038,fis-173422,beringraja stellulata
100038,fis-6547,brachaelurus colcloughi
100038,fis-131767,breviraja claramaculata
100038,fis-115735,breviraja colesi
100038,fis-131994,breviraja marklei
100038,fis-131768,breviraja mouldi
100038,fis-131766,breviraja nigriventralis
100038,fis-63232,breviraja spinosa
100038,fis-172344,brevitrygon imbricata
100038,fis-159145,brochiraja asperula
100038,fis-159146,brochiraja spinifera
100038,fis-162990,bythaelurus alcockii
100038,fis-159405,bythaelurus canescens
100038,fis-154008,bythaelurus clevai
100038,fis-154009,bythaelurus dawsoni
100038,fis-166776,bythaelurus giddingsi
100038,fis-154010,bythaelurus hispidus
100038,fis-154012,bythaelurus lutarius
100038,fis-23049,carcharhinus borneensis
100038,fis-169677,carcharhinus humani
100038,fis-23062,carcharhinus macloti
100038,fis-131127,centrophorus atromarginatus
100038,fis-172952,centrophorus longipinnis
100038,fis-131278,centroscyllium excelsum
100038,fis-29324,centroscyllium granulatum
100038,fis-29325,centroscyllium kamoharai
100038,fis-29326,centroscyllium nigrum
100038,fis-23079,centroscyllium ornatum
100038,fis-23074,centroscymnus crepidater
100038,fis-161432,cephaloscyllium cooki
100038,fis-29332,cephaloscyllium fasciatum
100038,fis-161448,cephaloscyllium hiscosellum
100038,fis-23081,cephaloscyllium isabellum
100038,fis-160921,cephaloscyllium sarawakense
100038,fis-161436,cephaloscyllium signourum
100038,fis-23083,cephaloscyllium silasi
100038,fis-161438,cephaloscyllium speccum
100038,fis-164849,cephaloscyllium stevensi
100038,fis-161443,cephaloscyllium variegatum
100038,fis-23086,cephalurus cephalus
100038,fis-31571,chiloscyllium arabicum
100038,fis-30780,chiloscyllium griseum
100038,fis-132130,chiloscyllium hasseltii
100038,fis-25892,chiloscyllium indicum
100038,fis-25470,chiloscyllium plagiosum
100038,fis-31579,cirrhoscyllium expolitum
100038,fis-31580,cirrhoscyllium formosanum
100038,fis-31581,cirrhoscyllium japonicum
100038,fis-52081,crassinarke dormitor
100038,fis-131465,cruriraja andamanica
100038,fis-115966,cruriraja atlantis
100038,fis-164699,cruriraja hulleyi
100038,fis-27678,cruriraja parcomaculata
100038,fis-115739,cruriraja poeyi
100038,fis-126306,cruriraja rugosa
100038,fis-142378,dactylobatus clarkii
100038,fis-58398,dasyatis chrysonota
100038,fis-159418,dasyatis hypostigma
100038,fis-33107,dasyatis marmorata
100038,fis-23995,dasyatis pastinaca
100038,fis-32598,dasyatis thetidis
100038,fis-33336,dasyatis tortonesei
100038,fis-171873,dentiraja australis
100038,fis-171874,dentiraja cerva
100038,fis-171875,dentiraja confusa
100038,fis-171877,dentiraja falloargus
100038,fis-161223,dentiraja flindersi
100038,fis-171878,dentiraja healdi
100038,fis-164471,dentiraja lemprieri
100038,fis-173441,dentiraja oculus
100038,fis-171879,dentiraja polyommata
100038,fis-131080,diplobatis colombiensis
100038,fis-131083,diplobatis guamachensis
100038,fis-27132,diplobatis ommata
100038,fis-63252,diplobatis picta
100038,fis-161155,dipturus acrobelus
100038,fis-161158,dipturus apricus
100038,fis-162027,dipturus argentinensis
100038,fis-131825,dipturus bullisi
100038,fis-132518,dipturus campbelli
100038,fis-161202,dipturus canutus
100038,fis-131831,dipturus doutrei
100038,fis-131832,dipturus garricki
100038,fis-131892,dipturus gigas
100038,fis-161216,dipturus grahami
100038,fis-131849,dipturus innominatus
100038,fis-132519,dipturus kwangtungensis
