fe_code,n_spp,mob,trp,len,wcol
MOBmig_TRPapex_LENmed_WCOLben,23,mig,apex,med,ben
MOBsed_TRPsec_LENlg_WCOLrf,21,sed,sec,lg,rf
MOBmig_TRPapex_LENsm_WCOLben,21,mig,apex,sm,ben
MOBmig_TRPter_LENvlg_WCOLbp,20,mig,ter,vlg,bp
MOBsed_TRPapex_LENmed_WCOLrf,20,sed,apex,med,rf
MOBmig_TRPsec_LENmed_WCOLpel,20,mig,sec,med,pel
MOBmig_TRPter_LENvlg_WCOLrf,20,mig,ter,vlg,rf
MOBmig_TRPapex_LENmed_WCOLpel,19,mig,apex,med,pel
MOBmob_TRPpri_LENmed_WCOLbp,19,mob,pri,med,bp
MOBmig_TRPsec_LENlg_WCOLbp,18,mig,sec,lg,bp
MOBmig_TRPter_LENsm_WCOLbp,17,mig,ter,sm,bp
MOBses_TRPapex_LENsm_WCOLben,17,ses,apex,sm,ben
MOBmig_TRPsec_LENsm_WCOLpel,15,mig,sec,sm,pel
MOBses_TRPsec_LENvsm_WCOLben,15,ses,sec,vsm,ben
MOBmob_TRPapex_LENsm_WCOLpel,15,mob,apex,sm,pel
MOBmob_TRPpri_LENsm_WCOLpel,14,mob,pri,sm,pel
MOBsed_TRPsec_LENsm_WCOLbp,14,sed,sec,sm,bp
MOBmig_TRPsec_LENmed_WCOLrf,14,mig,sec,med,rf
MOBmig_TRPsec_LENlg_WCOLrf,13,mig,sec,lg,rf
MOBsed_TRPapex_LENlg_WCOLbp,13,sed,apex,lg,bp
MOBsed_TRPsec_LENmed_WCOLbp,13,sed,sec,med,bp
MOBses_TRPsec_LENvsm_WCOLrf,11,ses,sec,vsm,rf
MOBsed_TRPsec_LENsm_WCOLpel,11,sed,sec,sm,pel
MOBmob_TRPpri_LENlg_WCOLbp,11,mob,pri,lg,bp
MOBmig_TRPsec_LENvsm_WCOLpel,10,mig,sec,vsm,pel
MOBsed_TRPsec_LENmed_WCOLpel,10,sed,sec,med,pel
MOBmig_TRPter_LENvsm_WCOLrf,10,mig,ter,vsm,rf
MOBmob_TRPter_LENvsm_WCOLbp,9,mob,ter,vsm,bp
MOBses_TRPter_LENsm_WCOLrf,9,ses,ter,sm,rf
MOBses_TRPapex_LENvsm_WCOLben,9,ses,apex,vsm,ben
MOBmig_TRPter_LENvlg_WCOLpel,9,mig,ter,vlg,pel
MOBses_TRPsec_LENlg_WCOLben,8,ses,sec,lg,ben
MOBsed_TRPpri_LENmed_WCOLbp,8,sed,pri,med,bp
MOBsed_TRPsec_LENlg_WCOLpel,8,sed,sec,lg,pel
MOBsed_TRPsec_LENvsm_WCOLpel,8,sed,sec,vsm,pel
MOBmig_TRPsec_LENmed_WCOLbp,8,mig,sec,med,bp
MOBses_TRPapex_LENmed_WCOLben,8,ses,apex,med,ben
MOBses_TRPter_LENsm_WCOLbp,8,ses,ter,sm,bp
MOBses_TRPsec_LENvlg_WCOLrf,7,ses,sec,vlg,rf
MOBsed_TRPpri_LENlg_WCOLrf,7,sed,pri,lg,rf
MOBmig_TRPsec_LENsm_WCOLbp,6,mig,sec,sm,bp
MOBsed_TRPpri_LENmed_WCOLpel,6,sed,pri,med,pel
MOBsed_TRPapex_LENvlg_WCOLben,6,sed,apex,vlg,ben
MOBses_TRPpri_LENlg_WCOLbp,5,ses,pri,lg,bp
MOBsed_TRPsec_LENlg_WCOLbp,5,sed,sec,lg,bp
MOBmob_TRPsec_LENvlg_WCOLben,5,mob,sec,vlg,ben
MOBmob_TRPsec_LENvlg_WCOLrf,4,mob,sec,vlg,rf
MOBmob_TRPsec_LENvlg_WCOLpel,4,mob,sec,vlg,pel
MOBses_TRPter_LENmed_WCOLbp,4,ses,ter,med,bp
MOBmig_TRPpri_LENlg_WCOLben,4,mig,pri,lg,ben
MOBses_TRPsec_LENlg_WCOLbp,4,ses,sec,lg,bp
MOBmig_TRPpri_LENvsm_WCOLpel,3,mig,pri,vsm,pel
MOBses_TRPter_LENlg_WCOLrf,3,ses,ter,lg,rf
MOBmig_TRPpri_LENvsm_WCOLrf,3,mig,pri,vsm,rf
MOBsed_TRPapex_LENmed_WCOLbp,3,sed,apex,med,bp
MOBmig_TRPpri_LENmed_WCOLpel,3,mig,pri,med,pel
MOBmig_TRPapex_LENmed_WCOLbp,3,mig,apex,med,bp
MOBmig_TRPpri_LENlg_WCOLbp,3,mig,pri,lg,bp
MOBmob_TRPapex_LENsm_WCOLbp,3,mob,apex,sm,bp
MOBses_TRPter_LENmed_WCOLrf,3,ses,ter,med,rf
MOBmob_TRPpri_LENvsm_WCOLbp,3,mob,pri,vsm,bp
MOBsed_TRPter_LENvlg_WCOLben,3,sed,ter,vlg,ben
MOBmig_TRPpri_LENlg_WCOLrf,3,mig,pri,lg,rf
MOBsed_TRPapex_LENvsm_WCOLpel,3,sed,apex,vsm,pel
MOBmig_TRPsec_LENvlg_WCOLben,3,mig,sec,vlg,ben
MOBmig_TRPpri_LENsm_WCOLpel,2,mig,pri,sm,pel
MOBsed_TRPsec_LENvsm_WCOLbp,2,sed,sec,vsm,bp
MOBmig_TRPapex_LENmed_WCOLrf,2,mig,apex,med,rf
MOBmob_TRPpri_LENlg_WCOLpel,2,mob,pri,lg,pel
MOBmig_TRPsec_LENvlg_WCOLpel,2,mig,sec,vlg,pel
MOBmig_TRPpri_LENmed_WCOLrf,2,mig,pri,med,rf
MOBmob_TRPapex_LENsm_WCOLrf,2,mob,apex,sm,rf
MOBmob_TRPapex_LENvsm_WCOLbp,2,mob,apex,vsm,bp
MOBmig_TRPpri_LENmed_WCOLbp,2,mig,pri,med,bp
MOBmig_TRPpri_LENsm_WCOLbp,2,mig,pri,sm,bp
MOBmob_TRPpri_LENmed_WCOLpel,2,mob,pri,med,pel
MOBses_TRPter_LENvsm_WCOLrf,2,ses,ter,vsm,rf
MOBmig_TRPter_LENvsm_WCOLbp,1,mig,ter,vsm,bp
MOBmig_TRPsec_LENvsm_WCOLbp,1,mig,sec,vsm,bp
MOBsed_TRPapex_LENvlg_WCOLbp,1,sed,apex,vlg,bp
MOBmob_TRPapex_LENvsm_WCOLpel,1,mob,apex,vsm,pel
MOBsed_TRPpri_LENlg_WCOLbp,1,sed,pri,lg,bp
MOBmig_TRPapex_LENsm_WCOLpel,1,mig,apex,sm,pel
MOBmig_TRPpri_LENsm_WCOLrf,1,mig,pri,sm,rf
MOBmob_TRPsec_LENvlg_WCOLbp,1,mob,sec,vlg,bp
MOBsed_TRPapex_LENvlg_WCOLrf,1,sed,apex,vlg,rf
MOBses_TRPpri_LENmed_WCOLpel,1,ses,pri,med,pel
MOBses_TRPter_LENsm_WCOLpel,1,ses,ter,sm,pel
MOBsed_TRPpri_LENvsm_WCOLrf,1,sed,pri,vsm,rf
MOBsed_TRPter_LENvlg_WCOLbp,1,sed,ter,vlg,bp
MOBses_TRPter_LENvsm_WCOLbp,1,ses,ter,vsm,bp
MOBsed_TRPsec_LENvlg_WCOLrf,1,sed,sec,vlg,rf
MOBmig_TRPapex_LENvsm_WCOLpel,1,mig,apex,vsm,pel
MOBmig_TRPpri_LENlg_WCOLpel,1,mig,pri,lg,pel
MOBmob_TRPpri_LENvlg_WCOLbp,1,mob,pri,vlg,bp
MOBsed_TRPpri_LENsm_WCOLpel,1,sed,pri,sm,pel
MOBses_TRPpri_LENsm_WCOLbp,1,ses,pri,sm,bp
MOBses_TRPter_LENvlg_WCOLben,1,ses,ter,vlg,ben
MOBsed_TRPpri_LENsm_WCOLbp,1,sed,pri,sm,bp
