species,fe_code,n_spp,fe_id
aniculus maximus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
antarctus mawsoni,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
arctides guineensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
arctides regalis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
argis alaskensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
argis californiensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
argis crassa,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
argis dentata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
argis hozawai,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
argis lar,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
argis levior,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
argis ochotensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
argis ovifer,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
argis toyamaensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
aristeus antillensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
aristeus pallidicauda,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
aristeus semidentatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
aristeus varidens,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
ashtoret granulosa,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
ashtoret lunaris,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
ashtoret maculata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
ashtoret miersii,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
ashtoret obtusifrons,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
ashtoret picta,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
ashtoret sanguianulata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
ashtoret shengmuae,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
atelecyclus rotundatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
atelecyclus undecimdentatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
atergatis dentatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
atergatis dilatatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
atergatis granulatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
atergatis interruptus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
atergatis laevigatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
atergatis latissimus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
atergatis montrouzieri,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
atergatis nitidus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
atergatis obtusus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
atergatis ocyroe,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
atergatis reticulatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
atergatis subdentatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
atergatis tweediei,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
atlantopandalus propinqvus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
austropandalus grayi,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
axianassa arenaria,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
axianassa australis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
axianassa canalis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
axianassa christyi,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
axianassa darrylfelderi,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
axianassa ferrazeae,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
axianassa intermedia,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
axianassa jamaicensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
axianassa linda,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
axianassa microlepis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
axianassa mineri,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
axianassa ngochoae,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
axianassa ovis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
axianassa planioculus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
axianassa sinica,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bathycheles crosnieri,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bathycheles cubensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bathycheles incisus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bathycheles integer,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bathycheles macgilchristi,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bathycheles phenax,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bathynarius albicinctus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bathynarius anomalus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bathynarius izuensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bathynarius pacificus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bathynarius wolffi,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bathynectes brevispina,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bathynectes longipes,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bathynectes longispina,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bathynectes maravigna,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bathynectes piperitus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bathypalaemonella adenensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bathypalaemonella delsolari,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bathypalaemonella hayashii,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bathypalaemonella humilis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bathypalaemonella serratipalma,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bathypalaemonella texana,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bathypalaemonella zimmeri,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bathypalaemonetes brevirostris,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bathypalaemonetes chani,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bathypalaemonetes pilosipes,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bathyplax typhla,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
benthoecetes bartletti,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
benthonectes filipes,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
beuroisia manquenei,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bitias brevis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bivalvopagurus sinensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
blepharipoda occidentalis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bountiana norfolcensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bresilia antipodarum,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bresilia atlantica,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bresilia briankensleyi,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bresilia cinctus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bresilia corsicana,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bresilia gibbosa,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bresilia pacifica,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bresilia plumifera,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bresilia rufioculus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bresilia saldanhai,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
brusinia brucei,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
brusinia elongata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
brusinia piriformis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
brusinia profunda,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bythocaris akidopleura,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bythocaris biruli,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bythocaris cosmetops,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bythocaris cryonesus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bythocaris curvirostris,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bythocaris elegans,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bythocaris floridensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bythocaris gorei,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bythocaris gracilis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bythocaris grumanti,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bythocaris irene,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bythocaris kobjakovae,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bythocaris leucopis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bythocaris miserabilis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bythocaris nana,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bythocaris payeri,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
bythocaris simplicirostris,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
calappa granulata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
calappa ocellata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
callianidea typa,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
calliax lobata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
calliaxina punica,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
campylonotus arntzianus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
campylonotus capensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
campylonotus semistriatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
campylonotus vagans,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
cancer bellianus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
cancer irroratus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
carcinoplax abyssicola,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
carcinoplax adelphia,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
carcinoplax confragosa,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
carcinoplax cracens,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
carcinoplax eburnea,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
carcinoplax fasciata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
carcinoplax inaequalis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
carcinoplax indica,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
carcinoplax ischurodous,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
carcinoplax jugum,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
carcinoplax longimanus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
carcinoplax longipes,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
carcinoplax mistio,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
carcinoplax monodi,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
carcinoplax nana,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
carcinoplax polita,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
carcinoplax purpurea,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
carcinoplax sinica,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
carcinoplax specularis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
carcinoplax spinosissima,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
carcinoplax tenuidentata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
carcinoplax tomentosa,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
carcinoplax tuberosa,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
carcinoplax uncinata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
carcinoplax velutina,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
carcinoplax verdensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
carcinus aestuarii,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
carcinus maenas,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
cardisoma carnifex,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
cardisoma crassum,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
cardus crucifer,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
chacellus filiformis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
chaceon australis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
chaceon notialis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
chaceon poupini,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis acuta,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis acutidens,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis africana,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis amboinensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis anisodon,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis brevispinosa,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis callianassa,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis cookei,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis crosnieri,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis curtidentata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis curtilobus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis demani,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis feriata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis goaensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis gordonae,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis granulata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis heterodon,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis holosericus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis hongkongensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis hoplites,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis ihlei,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis incisa,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis jaubertensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis javaensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis longicollis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis meteor,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis miles,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis multicostata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis omanensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis orlik,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis ornata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis padadiana,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis padangensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis philippinensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis pusilla,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis quadrimaculata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis rathbuni,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis riversandersoni,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis rosea,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis rostrata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis sagamiensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis salehensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis seychellensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis smithii,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis spinifera,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis subornata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis vadorum,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis variegata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
charybdis yaldwyni,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
chasmocarcinus arcuatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
chasmocarcinus chacei,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
chasmocarcinus cylindricus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
chasmocarcinus gemmatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
chasmocarcinus hirsutipes,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
chasmocarcinus latipes,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
chasmocarcinus longipes,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
chasmocarcinus meloi,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
chasmocarcinus mississipiensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
chasmocarcinus typicus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
cheiroplatea cenobita,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
cheiroplatea laticaudata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
cheiroplatea mitoi,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
cheiroplatea pumicicola,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2634,1
