stressor,mean_imp,mean_imp_npp,iucn_sid,species
non-climate,0.03323873211480075,0.02538290736878596,NA,acanthostrongylophora ingens
climate,0.18648007638274589,0.21865167032286764,NA,acarnus erithacus
non-climate,0.023514981403270793,0.03607052718640536,NA,acarnus erithacus
climate,0.1789079075687947,0.10092018562415118,NA,acarnus innominatus
non-climate,0.04119073683366492,0.030687740487012824,NA,acarnus innominatus
climate,0.308729527268366,0.3386342809660763,NA,acaudina molpadioides
non-climate,0.08929983723260039,0.07629741574644602,NA,acaudina molpadioides
climate,0.25277580723213244,0.14423543394463265,NA,accalathura crenulata
non-climate,0.03496178517195922,0.016608987601581922,NA,accalathura crenulata
climate,0.23498294743624956,0.25683819658529733,NA,acentrogobius audax
non-climate,0.08687589767668281,0.09072800183853176,NA,acentrogobius audax
climate,0.15566836190968572,0.18785875890880996,NA,acentrogobius caninus
non-climate,0.07984707360258539,0.0973091745534124,NA,acentrogobius caninus
climate,0.1324224372047106,0.22850071620224136,NA,acentrogobius cyanomos
non-climate,0.08565272755068713,0.1545387649887982,NA,acentrogobius cyanomos
climate,0.15720293354813297,0.16415667682225946,NA,acentrogobius janthinopterus
non-climate,0.09344901157160428,0.08692243283822583,NA,acentrogobius janthinopterus
climate,0.15873773519664688,0.17098131732743982,NA,acentrogobius moloanus
non-climate,0.08325281298845322,0.08032021792144296,NA,acentrogobius moloanus
climate,0.18846109429555766,0.21445163755778693,NA,acentrogobius multifasciatus
non-climate,0.08736740546628066,0.09806349118611794,NA,acentrogobius multifasciatus
climate,0.15557980729131818,0.16749401523135715,NA,acentrogobius nebulosus
non-climate,0.09927692951961804,0.10238881539406958,NA,acentrogobius nebulosus
climate,0.1648035169129556,0.1739858427229822,NA,acentrogobius suluensis
non-climate,0.07934282821531123,0.0779268513227405,NA,acentrogobius suluensis
climate,0.15523765304489232,0.18545968388075865,NA,acentrogobius viridipunctatus
non-climate,0.08423693898320876,0.10541532938027921,NA,acentrogobius viridipunctatus
climate,0.1409127089481239,0.15444704695112693,NA,acentronura breviperula
non-climate,0.07628694923041074,0.07520373138880139,NA,acentronura breviperula
climate,0.4223466010954189,0.13460371916195554,NA,aceroides latipes
non-climate,0.012485791671073195,0.003894885382196356,NA,aceroides latipes
climate,0.22589254623663507,0.2999966076461831,NA,acetes americanus
non-climate,0.09716159255270947,0.111811721126744,NA,acetes americanus
climate,0.2838455706894471,0.4602109503323245,NA,acetes chinensis
non-climate,0.26536007156242997,0.3805377044860729,NA,acetes chinensis
climate,0.19287757640997852,0.3177775645288504,NA,acetes erythraeus
non-climate,0.0866909913700677,0.14935730895102667,NA,acetes erythraeus
climate,0.19490841460905226,0.2834168777963926,NA,acetes japonicus
non-climate,0.09506407412343945,0.1543009551097148,NA,acetes japonicus
climate,0.28185872338350676,0.2837669201161927,NA,achaeus curvirostris
non-climate,0.07770814734460457,0.0690608455804015,NA,achaeus curvirostris
climate,0.2182131378821325,0.19985460341724018,NA,achaeus lacertosus
non-climate,0.08120495751776392,0.06437142275419236,NA,achaeus lacertosus
climate,0.3556795852589856,0.4435336080620181,NA,achelia alaskensis
non-climate,0.04214609028809274,0.06379467754548125,NA,achelia alaskensis
climate,0.2472604406906602,0.2374069957116195,NA,achelia assimilis
non-climate,0.05756841056214838,0.06593531841601699,NA,achelia assimilis
climate,0.2766823276273071,0.21777331535510486,NA,achelia borealis
non-climate,0.05229316619649917,0.053418648260081324,NA,achelia borealis
climate,0.17748980175105955,0.0774360849319652,NA,achelia communis
non-climate,5.023665792995762e-4,1.571248327013161e-4,NA,achelia communis
climate,0.3353339145873625,0.39538675850480326,NA,achelia dohrni
non-climate,0.04906696046415776,0.07737765923718334,NA,achelia dohrni
climate,0.31514487801990787,0.3593027112583349,NA,achelia echinata
non-climate,0.11038053645523996,0.13467188447149445,NA,achelia echinata
climate,0.12475469678555899,0.0502431067354971,NA,achelia hoekii
non-climate,2.7383792884300194e-4,9.283189688813565e-5,NA,achelia hoekii
climate,0.26068742796274547,0.2798430175074427,NA,achelia laevis
non-climate,0.10884235654002677,0.13963520061180454,NA,achelia laevis
climate,0.3993407388122306,0.3929412599920931,NA,achelia latifrons
non-climate,0.06300061471260378,0.07078929580452623,NA,achelia latifrons
climate,0.3242517256687835,0.29532686181649276,NA,achelia nana
non-climate,0.023836449431669064,0.02519769200404494,NA,achelia nana
climate,0.3088124763587562,0.2665535341392515,NA,achelia pribilofensis
non-climate,0.0714464762240335,0.07237727538875273,NA,achelia pribilofensis
climate,0.2691395375047099,0.2266614040860956,NA,achelia sawayai
non-climate,0.044913429026781436,0.043152713799803614,NA,achelia sawayai
climate,0.33526510140436605,0.423283068152474,NA,achelia scabra
non-climate,0.0529169298611525,0.07408319925312358,NA,achelia scabra
climate,0.15201768864152512,0.050184707161820684,NA,achelia serratipalpis
non-climate,3.236669545469085e-4,8.788344048875669e-5,NA,achelia serratipalpis
climate,0.33851413212550074,0.2904062987520623,NA,achelia spinosa
non-climate,0.015760987527531422,0.017529925059265237,NA,achelia spinosa
climate,0.27766344552154637,0.1156417374579451,NA,achelous binoculus
non-climate,0.07743791954030546,0.02202750684204455,NA,achelous binoculus
climate,0.3019584385082056,0.17629274579547816,NA,achelous depressifrons
non-climate,0.07463521326793202,0.03495960945747148,NA,achelous depressifrons
climate,0.28871254006955543,0.2548057853114375,NA,achelous gibbesii
non-climate,0.06005608463139466,0.03841337998015047,NA,achelous gibbesii
climate,0.2964833028229104,0.22772603412609796,NA,achelous hastatus
non-climate,0.17094007676979442,0.09718529828052878,NA,achelous hastatus
climate,0.2707216418641603,0.19718520185563682,NA,achelous ordwayi
non-climate,0.05515596978753688,0.03149519034116906,NA,achelous ordwayi
climate,0.27971256775799913,0.1257393583946766,NA,achelous sebae
non-climate,0.07840706804628858,0.02778287913056952,NA,achelous sebae
climate,0.26389772327138,0.19555849597144215,NA,achelous spinicarpus
non-climate,0.05552444449908534,0.03401946771148471,NA,achelous spinicarpus
climate,0.39024022086675947,0.2873926452917572,NA,achelous spinimanus
non-climate,0.07106306998282237,0.03956055693522178,NA,achelous spinimanus
climate,0.2902531559963932,0.30882688715702694,NA,achelous xantusii
non-climate,0.12008569764695777,0.1322408111125424,NA,achelous xantusii
climate,0.27758346479040574,0.2528230114780175,NA,achiropsetta tricholepis
non-climate,0.1056559564904592,0.08225820589147696,NA,achiropsetta tricholepis
climate,0.20866203290788868,0.24162649078351797,NA,achirus achirus
non-climate,0.1083572625343487,0.11618629127693574,NA,achirus achirus
climate,0.21438931930291702,0.1495103179886323,NA,achirus declivis
non-climate,0.06807439278338198,0.043397439705054025,NA,achirus declivis
climate,0.20363654067865267,0.33961373196647243,NA,achirus klunzingeri
non-climate,0.14496601283769048,0.24581224098713114,NA,achirus klunzingeri
climate,0.22724175180325093,0.17624390322613032,NA,achirus lineatus
non-climate,0.0738840920923735,0.059558581093582585,NA,achirus lineatus
climate,0.21190456305226738,0.25995284745951647,NA,achirus mazatlanus
non-climate,0.12499308017818327,0.1334001963617343,NA,achirus mazatlanus
climate,0.20559537676508827,0.33520957863332007,NA,achirus scutum
non-climate,0.15993783582706458,0.25444177745045726,NA,achirus scutum
climate,0.20581014612116222,0.3165972913859966,NA,acipenser brevirostrum
non-climate,0.0656590778931063,0.11465239635433426,NA,acipenser brevirostrum
climate,0.24166484601344795,0.3111659485829438,NA,acipenser medirostris
non-climate,0.03801880135429459,0.0657206869177585,NA,acipenser medirostris
climate,0.23654490293668576,0.18234869425551745,NA,acipenser naccarii
non-climate,0.21130070789791994,0.16902193095516646,NA,acipenser naccarii
climate,0.1994445925312492,0.24733215367097125,NA,acipenser oxyrinchus
non-climate,0.051930328752706534,0.08232816611026285,NA,acipenser oxyrinchus
climate,0.26254556765163295,0.22193542219376086,NA,acipenser stellatus
non-climate,0.15751461897356142,0.10237207940719056,NA,acipenser stellatus
climate,0.21249927198358531,0.19275954817237198,NA,acipenser sturio
non-climate,0.15260188715243492,0.14225857915742002,NA,acipenser sturio
climate,0.24266537445139058,0.36314797611147975,NA,acipenser transmontanus
non-climate,0.07792977799508725,0.14419070070664386,NA,acipenser transmontanus
climate,0.2754858125584572,0.24148666284494888,NA,acirsa borealis
non-climate,0.07875594857686728,0.06937188239714963,NA,acirsa borealis
climate,0.2885190374209158,0.1762510503686508,NA,aclis hendersoni
non-climate,0.06716188755742288,0.03135262142588566,NA,aclis hendersoni
climate,0.21343930593446647,0.19108347090695355,NA,aclyvolva coarctata
non-climate,0.07289762206759917,0.0643050177240828,NA,aclyvolva coarctata
climate,0.15545220203312654,0.17794355445360288,NA,acreichthys hajam
non-climate,0.09341048586075616,0.11144575305906208,NA,acreichthys hajam
climate,0.158788802497432,0.15804618985206342,NA,acreichthys radiatus
non-climate,0.08218526019491694,0.07149435406001309,NA,acreichthys radiatus
climate,0.15948861733845823,0.16959029722473543,NA,acreichthys tomentosus
non-climate,0.09252244608568813,0.0957255975583665,NA,acreichthys tomentosus
climate,0.36469741895434793,0.36512852702355475,NA,acrocnida brachiata
non-climate,0.08072950295941407,0.10270254420930323,NA,acrocnida brachiata
climate,0.27145798836796314,0.19440756719864372,NA,acromegalomma bioculatum
non-climate,0.012583582292328865,0.013038536106825847,NA,acromegalomma bioculatum
climate,0.18790562020390958,0.23995318591386766,NA,acromegalomma heterops
non-climate,0.017793952243731776,0.029613185489498078,NA,acromegalomma heterops
climate,0.24902671943827703,0.14917705120844618,NA,acromegalomma lobiferum
non-climate,0.01534719646586019,0.013643756065094019,NA,acromegalomma lobiferum
climate,0.25708784314364996,0.35403857040238396,NA,acromegalomma pigmentum
non-climate,0.0148351552031808,0.025431811978356655,NA,acromegalomma pigmentum
climate,0.2873328037374195,0.27466706266123936,NA,acromegalomma vesiculosum
non-climate,0.04115440012587658,0.04952473918983766,NA,acromegalomma vesiculosum
climate,0.1894274255038217,0.19741446964672044,NA,acromycter nezumi
non-climate,0.12968483172883205,0.16355577217528222,NA,acromycter nezumi
climate,0.17292247542141587,0.26326337999393495,NA,acropoma hanedai
non-climate,0.12344063714213206,0.1962119607988647,NA,acropoma hanedai
climate,0.18393644876867624,0.22354093623368393,NA,acropoma japonicum
non-climate,0.0759158325915256,0.08045483893581608,NA,acropoma japonicum
climate,0.3346389119394741,0.3131039102051044,NA,acropora intermedia
non-climate,0.07006503180984222,0.0787236872796745,NA,acropora intermedia
climate,0.34602968491079855,0.3351187234896058,NA,acropora mossambica
non-climate,0.08360790125849915,0.0961607335882908,NA,acropora mossambica
climate,0.5701879280159118,0.20118461852244443,NA,acropora prolifera
non-climate,0.055523282576849325,0.021494850410299776,NA,acropora prolifera
climate,0.23476769123763347,0.11003525206184629,NA,actaea acantha
non-climate,0.06954659701848635,0.026042717977439487,NA,actaea acantha
climate,0.18322772504652204,0.19422712289295235,NA,actaea polyacantha
non-climate,0.07555527768231114,0.06785744762238081,NA,actaea polyacantha
climate,0.243292617509778,0.25264134886197387,NA,actaea savignii
non-climate,0.094039843353469807,0.09933076651307213,NA,actaea savignii
climate,0.1963865697932811,0.20850792400040527,NA,actaeodes consobrinus
non-climate,0.073241127925296,0.06728998066577241,NA,actaeodes consobrinus
climate,0.18370986047663104,0.1888589175736276,NA,actaeodes hirsutissimus
non-climate,0.07170713085111112,0.06457263352865282,NA,actaeodes hirsutissimus
climate,0.19845488798565414,0.20474135886992256,NA,actaeodes tomentosus
non-climate,0.074911170043206,0.06600820122141265,NA,actaeodes tomentosus
climate,0.24324974259232598,0.22119755005292316,NA,actaeomorpha erosa
non-climate,0.055121558688725966,0.0421907466559936,NA,actaeomorpha erosa
climate,0.2111439262419695,0.22201471237310577,NA,acteocina apicina
non-climate,0.1126600706193909,0.10624521112255407,NA,acteocina apicina
climate,0.38216374667235786,0.18931883585878442,NA,acteocina atrata
non-climate,0.09552256337964886,0.05131347091331843,NA,acteocina atrata
climate,0.2656298656002675,0.19226578841056793,NA,acteocina bullata
non-climate,0.07270032605927781,0.04723811325980779,NA,acteocina bullata
climate,0.3141653631209472,0.30407501727432534,NA,acteocina canaliculata
non-climate,0.07033881647801829,0.0624400524644329,NA,acteocina canaliculata
climate,0.29554487464830664,0.25010216187196344,NA,acteocina candei
non-climate,0.07690676206944276,0.060018997867211,NA,acteocina candei
climate,0.3633274146123048,0.5026039733987371,NA,acteocina culcitella
non-climate,0.0842398291346594,0.12631467167189375,NA,acteocina culcitella
climate,0.20879847318947642,0.2253840293824494,NA,acteocina excerta
non-climate,0.10727263054326124,0.10512666373953203,NA,acteocina excerta
climate,0.27486354655605283,0.37714840628752316,NA,acteocina infrequens
non-climate,0.13489003929701998,0.17328787250300184,NA,acteocina infrequens
climate,0.2805877814727326,0.15213516878954683,NA,acteocina lepta
non-climate,0.06893617070138293,0.028371894542176816,NA,acteocina lepta
climate,0.3046274674958258,0.09513044859649152,NA,acteocina recta
non-climate,0.06294061958574036,0.012911283503252486,NA,acteocina recta
climate,0.3141169832260008,0.17170165373416904,NA,acteon candens
non-climate,0.06752290737367508,0.03179241638100429,NA,acteon candens
climate,0.29241922141468923,0.08218158154033858,NA,acteon delicatus
non-climate,0.06728623877531792,0.015356229049788641,NA,acteon delicatus
climate,0.06952735500755534,0.010823376380602245,NA,acteon melampoides
non-climate,0.06637455797361083,0.0036113672830370915,NA,acteon melampoides
climate,0.30144708314068913,0.21577816095080093,NA,acteon pelecais
non-climate,0.14813862220892599,0.11326395604993338,NA,acteon pelecais
climate,0.5837268548164057,0.135236084983817,NA,actinia cari
non-climate,0.28111887967270216,0.07776349393417666,NA,actinia cari
climate,0.5658022399924627,0.4253606128770124,NA,actinia equina
non-climate,0.22669052470065296,0.19044952277763103,NA,actinia equina
climate,0.38074460671254207,0.45754616739398907,NA,actinia tenebrosa
non-climate,0.03567417930295567,0.05144970334252264,NA,actinia tenebrosa
climate,0.198647341755129,0.1744841301485836,NA,actinimenes inornatus
non-climate,0.08055946824822643,0.062181770399412105,NA,actinimenes inornatus
climate,0.3492544521864153,0.16760519566122162,NA,actinopyga agassizii
non-climate,0.07523515987645593,0.027774576885470827,NA,actinopyga agassizii
climate,0.2902186554334857,0.32957850139022865,NA,actinopyga caerulea
non-climate,0.10381071268487144,0.09426988907438585,NA,actinopyga caerulea
climate,0.4273520373690561,0.4239665816681612,NA,actinopyga crassa
non-climate,0.09536142546666468,0.0745740433380069,NA,actinopyga crassa
climate,0.2901544099780819,0.2743224175577264,NA,actinopyga echinites
non-climate,0.11078452878880872,0.09388688632948691,NA,actinopyga echinites
climate,0.2862265340323876,0.2884716173167148,NA,actinopyga lecanora
non-climate,0.10047059977044347,0.08094895434369008,NA,actinopyga lecanora
