species,fe_code,n_spp,fe_id
alloteuthis media,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
alloteuthis subulata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
altelatipes brevirostris,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
altelatipes carinatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
altelatipes falkenhaugae,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
alvinocaris alexander,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
alvinocaris brevitelsonis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
alvinocaris chelys,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
alvinocaris costaricensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
alvinocaris dissimilis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
alvinocaris kexueae,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
alvinocaris komaii,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
alvinocaris longirostris,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
alvinocaris lusca,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
alvinocaris marimonte,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
alvinocaris markensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
alvinocaris methanophila,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
alvinocaris muricola,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
alvinocaris niwa,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
alvinocaris solitaire,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
alvinocaris stactophila,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
alvinocaris williamsi,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
amarinus pristes,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
ambidexter panamensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
ambidexter swifti,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
ambidexter symmetricus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
amphithrax aculeatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
amphithrax armatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
amphithrax bellii,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
amphithrax besnardi,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
amphithrax braziliensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
amphithrax caboverdianus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
amphithrax clarionensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
amphithrax hemphilli,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
amphithrax pilosus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
amphithrax tuberculatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
antarctus mawsoni,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
arctides guineensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
arctides regalis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
argis alaskensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
argis californiensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
argis crassa,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
argis dentata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
argis hozawai,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
argis lar,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
argis levior,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
argis ochotensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
argis ovifer,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
argis toyamaensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
aristeus antillensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
aristeus pallidicauda,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
aristeus semidentatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
aristeus varidens,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
ashtoret granulosa,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
ashtoret lunaris,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
ashtoret maculata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
ashtoret miersii,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
ashtoret obtusifrons,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
ashtoret picta,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
ashtoret sanguianulata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
ashtoret shengmuae,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
atelecyclus rotundatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
atelecyclus undecimdentatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
atergatis dentatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
atergatis dilatatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
atergatis granulatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
atergatis interruptus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
atergatis laevigatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
atergatis latissimus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
atergatis montrouzieri,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
atergatis nitidus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
atergatis obtusus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
atergatis ocyroe,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
atergatis reticulatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
atergatis subdentatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
atergatis tweediei,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
atlantopandalus propinqvus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
austropandalus grayi,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
axianassa arenaria,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
axianassa australis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
axianassa canalis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
axianassa christyi,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
axianassa darrylfelderi,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
axianassa ferrazeae,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
axianassa intermedia,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
axianassa jamaicensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
axianassa linda,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
axianassa microlepis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
axianassa mineri,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
axianassa ngochoae,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
axianassa ovis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
axianassa planioculus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
axianassa sinica,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bathycheles crosnieri,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bathycheles cubensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bathycheles incisus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bathycheles integer,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bathycheles macgilchristi,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bathycheles phenax,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bathynarius anomalus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bathynarius izuensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bathynarius wolffi,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bathynectes brevispina,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bathynectes longipes,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bathynectes longispina,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bathynectes maravigna,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bathynectes piperitus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bathypalaemonella adenensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bathypalaemonella delsolari,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bathypalaemonella hayashii,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bathypalaemonella humilis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bathypalaemonella serratipalma,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bathypalaemonella texana,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bathypalaemonella zimmeri,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bathypalaemonetes brevirostris,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bathypalaemonetes chani,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bathypalaemonetes pilosipes,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bathyplax typhla,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
benthoecetes bartletti,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
benthonectes filipes,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
beuroisia manquenei,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bitias brevis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bivalvopagurus sinensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
blepharipoda occidentalis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bountiana norfolcensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bresilia antipodarum,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bresilia atlantica,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bresilia briankensleyi,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bresilia cinctus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bresilia corsicana,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bresilia gibbosa,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bresilia pacifica,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bresilia plumifera,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bresilia rufioculus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bresilia saldanhai,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
brusinia brucei,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
brusinia elongata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
brusinia piriformis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
brusinia profunda,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bythocaris akidopleura,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bythocaris biruli,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bythocaris cosmetops,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bythocaris cryonesus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bythocaris curvirostris,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bythocaris elegans,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bythocaris floridensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bythocaris gorei,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bythocaris gracilis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bythocaris grumanti,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bythocaris irene,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bythocaris kobjakovae,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bythocaris leucopis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bythocaris miserabilis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bythocaris nana,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bythocaris payeri,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
bythocaris simplicirostris,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
calappa granulata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
calappa ocellata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
callianidea typa,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
calliax lobata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
calliaxina punica,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
campylonotus arntzianus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
campylonotus capensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
campylonotus semistriatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
campylonotus vagans,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
cancer bellianus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
cancer irroratus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
carcinoplax abyssicola,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
carcinoplax adelphia,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
carcinoplax confragosa,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
carcinoplax cracens,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
carcinoplax eburnea,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
carcinoplax fasciata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
carcinoplax inaequalis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
carcinoplax indica,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
carcinoplax ischurodous,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
carcinoplax jugum,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
carcinoplax longimanus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
carcinoplax longipes,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
carcinoplax mistio,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
carcinoplax monodi,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
carcinoplax nana,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
carcinoplax polita,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
carcinoplax purpurea,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
carcinoplax sinica,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
carcinoplax specularis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
carcinoplax spinosissima,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
carcinoplax tenuidentata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
carcinoplax tomentosa,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
carcinoplax tuberosa,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
carcinoplax uncinata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
carcinoplax velutina,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
carcinoplax verdensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
carcinus aestuarii,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
carcinus maenas,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
cardisoma carnifex,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
cardisoma crassum,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
cardus crucifer,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chacellus filiformis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chaceon australis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chaceon notialis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chaceon poupini,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chasmocarcinus arcuatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chasmocarcinus chacei,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chasmocarcinus cylindricus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chasmocarcinus gemmatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chasmocarcinus hirsutipes,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chasmocarcinus latipes,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chasmocarcinus longipes,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chasmocarcinus meloi,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chasmocarcinus mississipiensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chasmocarcinus typicus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
cheiroplatea cenobita,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
cheiroplatea laticaudata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
cheiroplatea mitoi,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
cheiroplatea pumicicola,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
cheiroplatea rotundioculus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
cheiroplatea scutata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
cheiroplatea stenurus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chelarctus crosnieri,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chelonika macrochela,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chionoecetes angulatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chionoecetes elongatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chionoecetes japonicus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chionoecetes opilio,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chionoecetes pacificus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chionoecetes tanneri,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chirostylus dolichopus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chirostylus micheleae,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chirostylus novaecaledoniae,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chirostylus ortmanni,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chirostylus rostratus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chirostylus sandyi,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chirostylus stellaris,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chlorotocoides spinicauda,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chlorotocus crassicornis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
chlorotocus novaezealandiae,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
cinetorhynchus erythrostictus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
cinetorhynchus striatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
clythrocerus bidentatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
clythrocerus carinatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
clythrocerus edentatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
clythrocerus granulatus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
clythrocerus moreirai,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
clythrocerus nitidus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
corystes cassivelaunus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
crangon affinis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
crangon alaskensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
crangon alba,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
crangon allmanni,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
crangon amurensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
crangon capensis,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
crangon cassiope,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
crangon crangon,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
crangon dalli,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
crangon franciscorum,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
crangon hakodatei,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
crangon handi,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
crangon holmesi,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
crangon lockingtonii,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
crangon nigricauda,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
crangon nigromaculata,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
crangon propinquus,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
crangon septemspinosa,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
crangon uritai,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
crosniera corindon,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
crosniera dayrati,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
crosniera minima,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
crosniera panie,MOBmig_FECvhi_GENshort_TRPter_LENmed_WCOLben,2573,1
