Category,Trait,Trait values,Biomass removal,Bycatch,Shipping,SST extremes,Nutrient pollution,Ocean acidification,Light pollution,SST rise,UV radiation,Benthic structures,Direct human,Fishing benthic destruction,Sea level rise
breeding/nesting range/number of spawning aggregations (fish),sub-population dependence on particular sites,"yes, no",G,G,G,G,G,G,G,G,G,G,G,G,G
foraging range,"number of sites, incl. terrestrial wetlands","one, few, many",G,G,G,G,G,G,G,G,G,G,G,G,G
foraging range,sub-population dependence on particular sites,"yes, no",G,G,G,G,G,G,G,G,G,G,G,G,G
R (Reproductive Traits),age to 1st reproduction/generation time,">20yrs, 10-20yrs, 5-10yrs, 1-5yrs, <1yr",G,G,G,G,G,G,G,G,G,G,G,G,G
R (Reproductive Traits),are there sub-populations?,"yes, no",G,G,G,G,G,G,G,G,G,G,G,G,G
R (Reproductive Traits),fecundity,"<1, 1-2, 2-5, 5-10, 10-20, 20-50, 50-100, 100-1000, 1000-10,000, >10,000",G,G,G,G,G,G,G,G,G,G,G,G,G
R (Reproductive Traits),global population size,"<1000, 1K-10K, 10K-100K, 100K-1M, >1M",G,G,G,G,G,G,G,G,G,G,G,G,G
R (Reproductive Traits),lifetime # reproductive opportunities,"1, 2-10, 11-25, 26-50, 51-100, 100+",G,G,G,G,G,G,G,G,G,G,G,G,G
R (Reproductive Traits),max age,">100yrs, 20-100yrs, 10-20yrs, 5-10yrs, 1-5yrs, 3months-1yr, <3months",G,G,G,G,G,G,G,G,G,G,G,G,G
R (Reproductive Traits),parental investment,"live birth/ egg care, spawner, egg-layer",G,G,G,G,G,G,G,G,G,G,G,G,G
R (Reproductive Traits),post-birth/hatching parental dependence,">year, month-year, week-month, <week",G,G,G,G,G,G,G,G,G,G,G,G,G
R (Reproductive Traits),reproductive strategy,"sexual dioecious, sexual hermaphrodite, asexual, colonial",G,G,G,G,G,G,G,G,G,G,G,G,G
Spatial Scale of species,EOO (range),"<99, 100-4999, 5000-19,999, >20,000",G,G,G,G,G,G,G,G,G,G,G,G,G
