name,rank,trait,trait_value,trait_prob
pomacentrus philippinus,species,thermal_tolerance_range,2.5-5C,1
pomachromis guamensis,species,thermal_tolerance_range,0-2.5C,1
apogonichthys ocellatus,species,thermal_tolerance_range,2.5-5C,1
apogonichthys perdix,species,thermal_tolerance_range,2.5-5C,1
fowleria punctulata,species,thermal_tolerance_range,2.5-5C,1
fowleria marmorata,species,thermal_tolerance_range,2.5-5C,1
nectamia bandanensis,species,thermal_tolerance_range,2.5-5C,1
ostorhinchus taeniophorus,species,thermal_tolerance_range,2.5-5C,1
zoramia gilberti,species,thermal_tolerance_range,0-2.5C,1
cheilodipterus macrodon,species,thermal_tolerance_range,2.5-5C,1
gymnapogon urospilotus,species,thermal_tolerance_range,0-2.5C,1
kyphosus cinerascens,species,thermal_tolerance_range,2.5-5C,1
scorpaenodes kelloggi,species,thermal_tolerance_range,2.5-5C,1
scorpaenodes varipinnis,species,thermal_tolerance_range,2.5-5C,1
scorpaenodes guamensis,species,thermal_tolerance_range,2.5-5C,1
scorpaenopsis macrochir,species,thermal_tolerance_range,2.5-5C,1
sufflamen chrysopterum,species,thermal_tolerance_range,2.5-5C,1
scolopsis frenata,species,thermal_tolerance_range,0-2.5C,1
choeroichthys brachysoma,species,thermal_tolerance_range,2.5-5C,1
corythoichthys intestinalis,species,thermal_tolerance_range,2.5-5C,1
corythoichthys nigripectus,species,thermal_tolerance_range,2.5-5C,1
cosmocampus banneri,species,thermal_tolerance_range,2.5-5C,1
doryrhamphus negrosensis,species,thermal_tolerance_range,0-2.5C,1
dunckerocampus dactyliophorus,species,thermal_tolerance_range,2.5-5C,1
micrognathus andersonii,species,thermal_tolerance_range,2.5-5C,1
minyichthys myersi,species,thermal_tolerance_range,2.5-5C,1
parupeneus barberinoides,species,thermal_tolerance_range,2.5-5C,1
parupeneus barberinus,species,thermal_tolerance_range,2.5-5C,1
parupeneus trifasciatus,species,thermal_tolerance_range,2.5-5C,1
parupeneus cyclostomus,species,thermal_tolerance_range,2.5-5C,1
halicampus brocki,species,thermal_tolerance_range,2.5-5C,1
naso tuberosus,species,thermal_tolerance_range,2.5-5C,1
balistapus undulatus,species,thermal_tolerance_range,2.5-5C,1
pseudobalistes flavimarginatus,species,thermal_tolerance_range,2.5-5C,1
alticus saliens,species,thermal_tolerance_range,2.5-5C,1
coregonus sardinella,species,thermal_tolerance_range,2.5-5C,1
aspidontus taeniatus,species,thermal_tolerance_range,2.5-5C,1
meiacanthus atrodorsalis,species,thermal_tolerance_range,2.5-5C,1
plagiotremus laudandus,species,thermal_tolerance_range,2.5-5C,1
plectorhinchus picus,species,thermal_tolerance_range,2.5-5C,1
gymnothorax pictus,species,thermal_tolerance_range,2.5-5C,1
arothron nigropunctatus,species,thermal_tolerance_range,2.5-5C,1
cephalopholis leopardus,species,thermal_tolerance_range,0-2.5C,1
cephalopholis sexmaculata,species,thermal_tolerance_range,2.5-5C,1
epinephelus polyphekadion,species,thermal_tolerance_range,2.5-5C,1
echidna unicolor,species,thermal_tolerance_range,0-2.5C,1
gymnothorax fimbriatus,species,thermal_tolerance_range,2.5-5C,1
pomacanthus imperator,species,thermal_tolerance_range,2.5-5C,1
canthigaster bennetti,species,thermal_tolerance_range,2.5-5C,1
chromis analis,species,thermal_tolerance_range,2.5-5C,1
ostracion cubicus,species,thermal_tolerance_range,2.5-5C,1
paraluteres prionurus,species,thermal_tolerance_range,2.5-5C,1
pygoplites diacanthus,species,thermal_tolerance_range,2.5-5C,1
gymnothorax richardsonii,species,thermal_tolerance_range,2.5-5C,1
choerodon jordani,species,thermal_tolerance_range,2.5-5C,1
coris dorsomacula,species,thermal_tolerance_range,5-7.5C,1
epinephelus macrospilos,species,thermal_tolerance_range,2.5-5C,1
rouleina attrita,species,thermal_tolerance_range,7.5-10C,1
pagetopsis maculatus,species,thermal_tolerance_range,0-2.5C,1
amblyeleotris steinitzi,species,thermal_tolerance_range,2.5-5C,1
asterropteryx semipunctata,species,thermal_tolerance_range,2.5-5C,1
discordipinna griessingeri,species,thermal_tolerance_range,2.5-5C,1
paragobiodon echinocephalus,species,thermal_tolerance_range,2.5-5C,1
priolepis cincta,species,thermal_tolerance_range,2.5-5C,1
cryptocentrus octofasciatus,species,thermal_tolerance_range,2.5-5C,1
ctenogobiops feroculus,species,thermal_tolerance_range,2.5-5C,1
vanderhorstia ambanoro,species,thermal_tolerance_range,0-2.5C,1
bryaninops ridens,species,thermal_tolerance_range,2.5-5C,1
bryaninops yongei,species,thermal_tolerance_range,2.5-5C,1
eviota fasciola,species,thermal_tolerance_range,2.5-5C,1
eviota melasma,species,thermal_tolerance_range,2.5-5C,1
eviota prasites,species,thermal_tolerance_range,2.5-5C,1
scolecenchelys macroptera,species,thermal_tolerance_range,2.5-5C,1
antennarius commerson,species,thermal_tolerance_range,2.5-5C,1
antennarius randalli,species,thermal_tolerance_range,2.5-5C,1
dinematichthys iluocoeteoides,species,thermal_tolerance_range,2.5-5C,1
stenatherina panatela,species,thermal_tolerance_range,2.5-5C,1
myripristis violacea,species,thermal_tolerance_range,2.5-5C,1
sargocentron tiereoides,species,thermal_tolerance_range,2.5-5C,1
scorpaenodes scaber,species,thermal_tolerance_range,7.5-10C,1
epinephelus flavocaeruleus,species,thermal_tolerance_range,5-7.5C,1
epinephelus howlandi,species,thermal_tolerance_range,2.5-5C,1
epinephelus longispinis,species,thermal_tolerance_range,5-7.5C,1
epinephelus radiatus,species,thermal_tolerance_range,2.5-5C,1
plectropomus punctatus,species,thermal_tolerance_range,2.5-5C,1
argyropelecus sladeni,species,thermal_tolerance_range,10-15C,1
protomyctophum beckeri,species,thermal_tolerance_range,0-2.5C,1
plectropomus pessuliferus,species,thermal_tolerance_range,2.5-5C,1
bathypterois atricolor,species,thermal_tolerance_range,10-15C,1
chilorhinus platyrhynchus,species,thermal_tolerance_range,2.5-5C,1
scuticaria tigrina,species,thermal_tolerance_range,2.5-5C,1
phyllophichthus xenodontus,species,thermal_tolerance_range,2.5-5C,1
callechelys lutea,species,thermal_tolerance_range,0-2.5C,1
nettastoma solitarium,species,thermal_tolerance_range,>15C,1
ecsenius midas,species,thermal_tolerance_range,2.5-5C,1
ecsenius lineatus,species,thermal_tolerance_range,2.5-5C,1
cirrhilabrus rubrimarginatus,species,thermal_tolerance_range,2.5-5C,1
ariosoma mauritianum,species,thermal_tolerance_range,>15C,1
cynoglossus lachneri,species,thermal_tolerance_range,0-2.5C,1
symphurus ocellatus,species,thermal_tolerance_range,>15C,1
thyrsitoides marleyi,species,thermal_tolerance_range,7.5-10C,1
hyporhamphus affinis,species,thermal_tolerance_range,2.5-5C,1
kuhlia rupestris,species,thermal_tolerance_range,5-7.5C,1
bodianus leucosticticus,species,thermal_tolerance_range,2.5-5C,1
microphis millepunctatus,species,thermal_tolerance_range,2.5-5C,1
bodianus perditio,species,thermal_tolerance_range,5-7.5C,1
sebastapistes ballieui,species,thermal_tolerance_range,0-2.5C,1
pterois sphex,species,thermal_tolerance_range,0-2.5C,1
chaetodon madagaskariensis,species,thermal_tolerance_range,2.5-5C,1
chaetodon xanthocephalus,species,thermal_tolerance_range,2.5-5C,1
synchiropus stellatus,species,thermal_tolerance_range,2.5-5C,1
plectroglyphidodon sindonis,species,thermal_tolerance_range,0-2.5C,1
myripristis seychellensis,species,thermal_tolerance_range,0-2.5C,1
coris venusta,species,thermal_tolerance_range,0-2.5C,1
plagiotremus goslinei,species,thermal_tolerance_range,0-2.5C,1
thamnaconus fajardoi,species,thermal_tolerance_range,2.5-5C,1
thamnaconus modestoides,species,thermal_tolerance_range,5-7.5C,1
osteomugil robustus,species,thermal_tolerance_range,7.5-10C,1
scarus caudofasciatus,species,thermal_tolerance_range,2.5-5C,1
sphyraena qenie,species,thermal_tolerance_range,2.5-5C,1
uranoscopus archionema,species,thermal_tolerance_range,5-7.5C,1
plesiops coeruleolineatus,species,thermal_tolerance_range,2.5-5C,1
chaetodon blackburnii,species,thermal_tolerance_range,5-7.5C,1
abudefduf sparoides,species,thermal_tolerance_range,2.5-5C,1
halichoeres lapillus,species,thermal_tolerance_range,2.5-5C,1
eleotris fusca,species,thermal_tolerance_range,2.5-5C,1
omobranchus fasciolatus,species,thermal_tolerance_range,2.5-5C,1
aspidontus tractus,species,thermal_tolerance_range,2.5-5C,1
antennablennius bifilum,species,thermal_tolerance_range,2.5-5C,1
gymnothorax griseus,species,thermal_tolerance_range,5-7.5C,1
parapristipoma octolineatum,species,thermal_tolerance_range,5-7.5C,1
hypoatherina ovalaua,species,thermal_tolerance_range,0-2.5C,1
ariomma luridum,species,thermal_tolerance_range,>15C,1
coelorinchus acanthiger,species,thermal_tolerance_range,10-15C,1
rexichthys johnpaxtoni,species,thermal_tolerance_range,>15C,1
helcogramma fuscopinna,species,thermal_tolerance_range,5-7.5C,1
helcogramma rhinoceros,species,thermal_tolerance_range,2.5-5C,1
samariscus triocellatus,species,thermal_tolerance_range,2.5-5C,1
fowleria vaiulae,species,thermal_tolerance_range,2.5-5C,1
acanthurus xanthopterus,species,thermal_tolerance_range,2.5-5C,1
centropyge colini,species,thermal_tolerance_range,0-2.5C,1
bathysolea profundicola,species,thermal_tolerance_range,10-15C,1
poecilopsetta natalensis,species,thermal_tolerance_range,>15C,1
chaetodon dolosus,species,thermal_tolerance_range,2.5-5C,1
chaetodon mitratus,species,thermal_tolerance_range,2.5-5C,1
lamprogrammus brunswigi,species,thermal_tolerance_range,5-7.5C,1
gigantura chuni,species,thermal_tolerance_range,2.5-5C,1
belone svetovidovi,species,thermal_tolerance_range,10-15C,1
encheliophis gracilis,species,thermal_tolerance_range,2.5-5C,1
centropyge acanthops,species,thermal_tolerance_range,5-7.5C,1
kraemeria samoensis,species,thermal_tolerance_range,0-2.5C,1
pseudechidna brummeri,species,thermal_tolerance_range,2.5-5C,1
ostorhinchus apogonoides,species,thermal_tolerance_range,2.5-5C,1
hoplichthys regani,species,thermal_tolerance_range,10-15C,1
arnoglossus debilis,species,thermal_tolerance_range,2.5-5C,1
apolemichthys xanthurus,species,thermal_tolerance_range,2.5-5C,1
parupeneus forsskali,species,thermal_tolerance_range,5-7.5C,1
centropyge shepardi,species,thermal_tolerance_range,2.5-5C,1
genicanthus caudovittatus,species,thermal_tolerance_range,5-7.5C,1
antennatus analis,species,thermal_tolerance_range,2.5-5C,1
sagamichthys schnakenbecki,species,thermal_tolerance_range,2.5-5C,1
argyropelecus lychnus,species,thermal_tolerance_range,10-15C,1
chauliodus minimus,species,thermal_tolerance_range,5-7.5C,1
melanostomias paucilaternatus,species,thermal_tolerance_range,10-15C,1
thysanactis dentex,species,thermal_tolerance_range,2.5-5C,1
amphiprion allardi,species,thermal_tolerance_range,2.5-5C,1
azurina hirundo,species,thermal_tolerance_range,7.5-10C,1
chromis axillaris,species,thermal_tolerance_range,2.5-5C,1
pentaceros wheeleri,species,thermal_tolerance_range,>15C,1
chromis flavomaculata,species,thermal_tolerance_range,5-7.5C,1
chromis nigrura,species,thermal_tolerance_range,2.5-5C,1
stegastes leucorus,species,thermal_tolerance_range,10-15C,1
chaetodon trichrous,species,thermal_tolerance_range,0-2.5C,1
neobythites purus,species,thermal_tolerance_range,7.5-10C,1
carcharhinus melanopterus,species,thermal_tolerance_range,2.5-5C,1
aetobatus ocellatus,species,thermal_tolerance_range,5-7.5C,1
heteroconger hassi,species,thermal_tolerance_range,2.5-5C,1
siphamia mossambica,species,thermal_tolerance_range,2.5-5C,1
synchiropus morrisoni,species,thermal_tolerance_range,2.5-5C,1
cheilodactylus ephippium,species,thermal_tolerance_range,2.5-5C,1
gunnellichthys monostigma,species,thermal_tolerance_range,2.5-5C,1
pseudanthias pictilis,species,thermal_tolerance_range,7.5-10C,1
amblyeleotris aurora,species,thermal_tolerance_range,5-7.5C,1
gorgasia preclara,species,thermal_tolerance_range,2.5-5C,1
pseudanthias pulcherrimus,species,thermal_tolerance_range,2.5-5C,1
canthigaster smithae,species,thermal_tolerance_range,2.5-5C,1
canthigaster tyleri,species,thermal_tolerance_range,2.5-5C,1
sunagocia arenicola,species,thermal_tolerance_range,2.5-5C,1
thysanophrys chiltonae,species,thermal_tolerance_range,2.5-5C,1
apogon talboti,species,thermal_tolerance_range,2.5-5C,1
pempheris schwenkii,species,thermal_tolerance_range,5-7.5C,1
apogon crassiceps,species,thermal_tolerance_range,2.5-5C,1
cirrhilabrus laboutei,species,thermal_tolerance_range,0-2.5C,1
cirrhilabrus lineatus,species,thermal_tolerance_range,0-2.5C,1
hologymnosus longipes,species,thermal_tolerance_range,2.5-5C,1
macropharyngodon kuiteri,species,thermal_tolerance_range,2.5-5C,1
enneapterygius hemimelas,species,thermal_tolerance_range,2.5-5C,1
enneapterygius nanus,species,thermal_tolerance_range,0-2.5C,1
dunckerocampus multiannulatus,species,thermal_tolerance_range,2.5-5C,1
gymnothorax marshallensis,species,thermal_tolerance_range,0-2.5C,1
foa fo,species,thermal_tolerance_range,2.5-5C,1
cercamia eremia,species,thermal_tolerance_range,2.5-5C,1
atherinomorus insularum,species,thermal_tolerance_range,0-2.5C,1
chelidoperca margaritifera,species,thermal_tolerance_range,5-7.5C,1
hoplichthys citrinus,species,thermal_tolerance_range,5-7.5C,1
pterygotrigla multiocellata,species,thermal_tolerance_range,5-7.5C,1
lycodes frigidus,species,thermal_tolerance_range,0-2.5C,1
engyprosopon septempes,species,thermal_tolerance_range,0-2.5C,1
engyprosopon mogkii,species,thermal_tolerance_range,2.5-5C,1
tosarhombus neocaledonicus,species,thermal_tolerance_range,0-2.5C,1
chromogobius quadrivittatus,species,thermal_tolerance_range,7.5-10C,1
zebrus zebrus,species,thermal_tolerance_range,5-7.5C,1
mentodus rostratus,species,thermal_tolerance_range,7.5-10C,1
cyclothone parapallida,species,thermal_tolerance_range,5-7.5C,1
diaphus luetkeni,species,thermal_tolerance_range,5-7.5C,1
sternoptyx obscura,species,thermal_tolerance_range,2.5-5C,1
apletodon pellegrini,species,thermal_tolerance_range,7.5-10C,1
parataeniophorus brevis,species,thermal_tolerance_range,10-15C,1
neoscorpaena nielseni,species,thermal_tolerance_range,2.5-5C,1
caracanthus madagascariensis,species,thermal_tolerance_range,2.5-5C,1
dysalotus oligoscolus,species,thermal_tolerance_range,2.5-5C,1
alloblennius parvus,species,thermal_tolerance_range,2.5-5C,1
blenniella cyanostigma,species,thermal_tolerance_range,2.5-5C,1
enneapterygius abeli,species,thermal_tolerance_range,2.5-5C,1
diplogrammus infulatus,species,thermal_tolerance_range,2.5-5C,1
amoya signata,species,thermal_tolerance_range,2.5-5C,1
callogobius flavobrunneus,species,thermal_tolerance_range,2.5-5C,1
fusigobius duospilus,species,thermal_tolerance_range,2.5-5C,1
photoblepharon steinitzi,species,thermal_tolerance_range,2.5-5C,1
cetonurus globiceps,species,thermal_tolerance_range,>15C,1
kaupichthys brachychirus,species,thermal_tolerance_range,0-2.5C,1
paragobiodon lacunicolus,species,thermal_tolerance_range,2.5-5C,1
aseraggodes melanostictus,species,thermal_tolerance_range,0-2.5C,1
woodsia nonsuchae,species,thermal_tolerance_range,0-2.5C,1
sigmops gracilis,species,thermal_tolerance_range,>15C,1
lesueurigobius sanzi,species,thermal_tolerance_range,10-15C,1
hetereleotris apora,species,thermal_tolerance_range,2.5-5C,1
hetereleotris zanzibarensis,species,thermal_tolerance_range,2.5-5C,1
myctophum orientale,species,thermal_tolerance_range,>15C,1
eleotris mauritiana,species,thermal_tolerance_range,2.5-5C,1
ichthyococcus australis,species,thermal_tolerance_range,>15C,1
lotella phycis,species,thermal_tolerance_range,7.5-10C,1
malthopsis mitrigera,species,thermal_tolerance_range,>15C,1
sargocentron macrosquamis,species,thermal_tolerance_range,2.5-5C,1
sargocentron seychellense,species,thermal_tolerance_range,0-2.5C,1
gigantactis perlatus,species,thermal_tolerance_range,10-15C,1
gigantactis gargantua,species,thermal_tolerance_range,5-7.5C,1
echidna delicatula,species,thermal_tolerance_range,2.5-5C,1
coloconger raniceps,species,thermal_tolerance_range,>15C,1
sargocentron spinosissimum,species,thermal_tolerance_range,10-15C,1
acanthostracion notacanthus,species,thermal_tolerance_range,5-7.5C,1
amblycirrhitus unimacula,species,thermal_tolerance_range,2.5-5C,1
helcogramma trigloides,species,thermal_tolerance_range,2.5-5C,1
gnatholepis anjerensis,species,thermal_tolerance_range,2.5-5C,1
heteroclinus roseus,species,thermal_tolerance_range,5-7.5C,1
schindleria praematura,species,thermal_tolerance_range,5-7.5C,1
polyipnus elongatus,species,thermal_tolerance_range,5-7.5C,1
diancistrus longifilis,species,thermal_tolerance_range,5-7.5C,1
cetonurus crassiceps,species,thermal_tolerance_range,5-7.5C,1
scopelogadus bispinosus,species,thermal_tolerance_range,10-15C,1
halichoeres cosmetus,species,thermal_tolerance_range,2.5-5C,1
amblygobius semicinctus,species,thermal_tolerance_range,2.5-5C,1
halichoeres trispilus,species,thermal_tolerance_range,5-7.5C,1
bodianus opercularis,species,thermal_tolerance_range,0-2.5C,1
cryptocentrus cryptocentrus,species,thermal_tolerance_range,2.5-5C,1
phenacoscorpius adenensis,species,thermal_tolerance_range,7.5-10C,1
syngnathus tenuirostris,species,thermal_tolerance_range,2.5-5C,1
xenisthmus africanus,species,thermal_tolerance_range,2.5-5C,1
hypseleotris guentheri,species,thermal_tolerance_range,0-2.5C,1
fusigobius inframaculatus,species,thermal_tolerance_range,2.5-5C,1
coregonus albula,species,thermal_tolerance_range,2.5-5C,1
gymnothorax moluccensis,species,thermal_tolerance_range,2.5-5C,1
