db,spec_code,species,tm,age_mat_min,age_mat_min2
fb,21,benthosema glaciale,NA,2,3
fb,6589,benthosema suborbitale,0.4000000059604645,NA,NA
fb,1320,beryx splendens,NA,4,5
fb,1320,beryx splendens,5.900000095367432,NA,NA
fb,1320,beryx splendens,7.5,NA,NA
fb,1320,beryx splendens,5,2,6
fb,12232,bidyanus bidyanus,NA,2,3
fb,12232,bidyanus bidyanus,NA,2,3
fb,4471,blicca bjoerkna,NA,4,NA
fb,4471,blicca bjoerkna,NA,3,NA
fb,4471,blicca bjoerkna,NA,3,4
fb,4471,blicca bjoerkna,NA,2,NA
fb,4471,blicca bjoerkna,NA,3,NA
fb,203,boops boops,2,NA,NA
fb,203,boops boops,1,NA,NA
fb,203,boops boops,1.399999976158142,NA,NA
fb,203,boops boops,2,NA,NA
fb,203,boops boops,5,NA,NA
fb,203,boops boops,2,NA,NA
fb,319,boreogadus saida,NA,2,3
fb,319,boreogadus saida,NA,3,NA
fb,319,boreogadus saida,NA,2,3
fb,319,boreogadus saida,NA,4,5
fb,319,boreogadus saida,NA,2,3
fb,319,boreogadus saida,NA,3,3
fb,10320,bostockia porosa,2,NA,NA
fb,10320,bostockia porosa,1,NA,NA
fb,8274,bothus constellatus,NA,5,6
fb,6008,boulengerochromis microlepis,2.5,NA,NA
fb,3625,brachyistius frenatus,NA,1,NA
fb,2079,brachymystax lenok,NA,3,4
fb,2079,brachymystax lenok,NA,2,3
fb,2079,brachymystax lenok,NA,5,7
fb,58421,brachyplatystoma rousseauxii,2.200000047683716,NA,NA
fb,3555,brama japonica,4,NA,NA
fb,3555,brama japonica,4,NA,NA
fb,4593,branchiostegus japonicus,NA,2,3
fb,4593,branchiostegus japonicus,2,NA,NA
fb,4593,branchiostegus japonicus,3,NA,NA
fb,1589,brevoortia patronus,NA,1,NA
fb,1592,brevoortia tyrannus,NA,1,3
fb,1592,brevoortia tyrannus,NA,NA,3
fb,51,brosme brosme,NA,8,10
fb,51,brosme brosme,7.900000095367432,NA,NA
fb,51,brosme brosme,7.099999904632568,NA,NA
fb,5235,brycinus nurse,1,NA,NA
fb,5235,brycinus nurse,1,NA,NA
fb,53,buglossidium luteum,3,NA,NA
fb,12152,bunocephalus coracoideus,NA,1.75,NA
fb,12152,bunocephalus coracoideus,NA,1.75,NA
fb,1221,calamus bajonado,3,NA,NA
fb,1221,calamus bajonado,NA,5,NA
fb,1221,calamus bajonado,NA,4,NA
fb,1225,calamus leucosteus,1,NA,NA
fb,1225,calamus leucosteus,1,NA,NA
fb,1226,calamus nodosus,NA,3,NA
fb,1229,calamus proridens,NA,3,NA
fb,167,callorhinchus capensis,3.299999952316284,NA,NA
fb,167,callorhinchus capensis,4.199999809265137,NA,NA
fb,4722,callorhinchus milii,NA,4,NA
fb,4722,callorhinchus milii,NA,3,NA
fb,4722,callorhinchus milii,NA,4,6
fb,4722,callorhinchus milii,NA,2,4
fb,63099,capoeta bergamae,2.200000047683716,NA,NA
fb,63099,capoeta bergamae,1.899999976158142,NA,NA
fb,8725,capoeta sevangi,NA,6,NA
fb,8725,capoeta sevangi,NA,2,3
fb,48163,capoeta tinca,NA,2,NA
fb,48163,capoeta tinca,NA,3,NA
fb,48163,capoeta tinca,NA,1,3
fb,48163,capoeta tinca,NA,2,3
fb,63654,capoeta umbla,NA,2,NA
fb,63654,capoeta umbla,NA,4,NA
fb,54,capros aper,1.840000033378601,NA,NA
fb,54,capros aper,4.599999904632568,NA,NA
fb,54,capros aper,3.4000000953674316,NA,NA
fb,54,capros aper,5.25,NA,NA
fb,1895,caranx ignobilis,3.5,NA,NA
fb,1906,caranx melampygus,2,NA,NA
fb,1899,caranx rhonchus,2,NA,NA
fb,1918,caranx ruber,3,NA,NA
fb,54718,carasobarbus luteus,NA,2,3
fb,271,carassius auratus,1,NA,NA
fb,271,carassius auratus,1,NA,NA
fb,271,carassius auratus,NA,1,2
fb,270,carassius carassius,2,2,2
fb,270,carassius carassius,NA,3,NA
fb,270,carassius carassius,NA,4,NA
fb,270,carassius carassius,NA,2,NA
fb,6376,carassius gibelio,NA,4,NA
fb,6376,carassius gibelio,NA,1,NA
fb,6376,carassius gibelio,NA,3,NA
fb,6376,carassius gibelio,NA,3,4
fb,6376,carassius gibelio,NA,3,4
fb,6376,carassius gibelio,NA,1,2
fb,857,carcharhinus acronotus,3,2,NA
fb,857,carcharhinus acronotus,2.5,2,NA
fb,857,carcharhinus acronotus,NA,3,4
fb,857,carcharhinus acronotus,3,NA,NA
fb,857,carcharhinus acronotus,4.510000228881836,NA,NA
fb,857,carcharhinus acronotus,4.510000228881836,NA,NA
fb,861,carcharhinus amblyrhynchos,NA,NA,7
fb,861,carcharhinus amblyrhynchos,7,NA,NA
fb,864,carcharhinus brachyurus,NA,5,12
