spec_code,species,db,length,length_female,common_length,common_length_f
9214,acanthocepola limbata,fb,50,NA,NA,NA
9046,acanthochaenus luetkenii,fb,14.100000381469728,NA,NA,NA
51803,acanthocharax microlepis,fb,8.5,NA,NA,NA
6655,acanthochromis polyacanthus,fb,14,NA,NA,NA
9474,acanthocleithron chapini,fb,5.5,NA,NA,NA
12865,acanthoclinus fuscus,fb,30,NA,NA,NA
49224,acanthoclinus littoreus,fb,12.600000381469728,NA,NA,NA
46323,acanthoclinus marilynae,fb,17,NA,NA,NA
46322,acanthoclinus rua,fb,11.5,NA,NA,NA
12256,acanthocobitis botia,fb,14.869999885559082,NA,NA,NA
24577,acanthocobitis mooreh,fb,4.400000095367432,NA,NA,NA
24585,acanthocobitis pavonacea,fb,8,NA,NA,NA
24604,acanthocobitis rubidipinnis,fb,10,NA,NA,NA
10378,acanthocobitis urophthalmus,fb,4,NA,NA,NA
89,acanthocybium solandri,fb,250,NA,170,NA
47599,acanthodoras cataphractus,fb,11.5,NA,NA,NA
47598,acanthodoras depressus,fb,8.100000381469727,NA,NA,NA
12103,acanthodoras spinosissimus,fb,13.699999809265137,NA,NA,NA
55978,acanthogobio guentheri,fb,20,NA,NA,NA
3832,acanthogobius flavimanus,fb,30,NA,14.5,NA
13045,acanthogobius hasta,fb,50,NA,NA,NA
23696,acanthogobius lactipes,fb,9.399999618530272,NA,NA,NA
55485,acanthogobius luridus,fb,6,NA,NA,NA
7633,acantholabrus palloni,fb,25,NA,NA,NA
51500,acantholiparis caecus,fb,3.900000095367432,5.699999809265137,NA,NA
25262,acantholiparis opercularis,fb,6.900000095367432,7,NA,NA
3771,acantholumpenus mackayi,fb,70,NA,NA,NA
8943,acanthonus armatus,fb,37.5,NA,NA,NA
63150,acanthopagrus akazakii,fb,18.5,NA,NA,NA
67314,acanthopagrus arabicus,fb,34.5,NA,30,NA
8109,acanthopagrus australis,fb,66,NA,NA,NA
5526,acanthopagrus berda,fb,90,NA,35,NA
4543,acanthopagrus bifasciatus,fb,36.20000076293945,NA,40,NA
14601,acanthopagrus butcheri,fb,60,NA,24,NA
67289,acanthopagrus catenula,fb,36.400001525878906,NA,NA,NA
63767,acanthopagrus chinshira,fb,20.399999618530273,NA,NA,NA
67331,acanthopagrus datnia,fb,31.399999618530273,NA,NA,NA
6356,acanthopagrus latus,fb,40,NA,NA,NA
67330,acanthopagrus morrisoni,fb,45,NA,NA,NA
65370,acanthopagrus omanensis,fb,14.5,NA,NA,NA
65896,acanthopagrus pacificus,fb,50,34.79999923706055,NA,NA
8110,acanthopagrus palmaris,fb,40,NA,NA,NA
65100,acanthopagrus randalli,fb,32.20000076293945,NA,NA,NA
6531,acanthopagrus schlegelii,fb,50,NA,NA,NA
67333,acanthopagrus sheim,fb,30,NA,NA,NA
6583,acanthopagrus sivicolus,fb,45,NA,NA,NA
63153,acanthopagrus taiwanensis,fb,18.399999618530273,21.600000381469727,NA,NA
65558,acanthopagrus vagus,fb,26.200000762939453,NA,NA,NA
67665,acanthoplesiops cappuccino,fb,1.6399999856948853,NA,NA,NA
58053,acanthoplesiops echinatus,fb,4,NA,NA,NA
17444,acanthoplesiops hiatti,fb,2.4000000953674316,NA,NA,NA
8004,acanthoplesiops indicus,fb,5,NA,NA,NA
69338,acanthoplesiops jessicae,fb,1.4800000190734863,NA,NA,NA
65019,acanthoplesiops naka,fb,0.9900000095367432,NA,NA,NA
59172,acanthoplesiops psilogaster,fb,2.259999990463257,NA,NA,NA
48774,acanthopoma annectens,fb,12,NA,NA,NA
8836,acanthopsetta nadeshnyi,fb,46,NA,NA,NA
26858,acanthopsoides delphax,fb,6,NA,NA,NA
26859,acanthopsoides gracilentus,fb,6,NA,NA,NA
26913,acanthopsoides gracilis,fb,5.400000095367432,NA,NA,NA
26860,acanthopsoides hapalias,fb,6,NA,NA,NA
23006,acanthopsoides molobrion,fb,4.5,NA,NA,NA
23008,acanthopsoides robertsi,fb,5.5,NA,NA,NA
46831,acanthorhodeus chankaensis,fb,12,NA,NA,NA
25311,acanthosphex leurynnis,fb,3.0999999046325684,NA,NA,NA
23363,acanthostracion guineense,fb,18,NA,NA,NA
23370,acanthostracion notacanthus,fb,50,NA,NA,NA
4287,acanthostracion polygonius,fb,50,NA,25,NA
92,acanthostracion quadricornis,fb,55,NA,20,NA
4306,acanthurus achilles,fb,24,NA,NA,NA
68166,acanthurus albimento,fb,25.239999771118164,NA,NA,NA
13770,acanthurus albipectoralis,fb,33,NA,NA,NA
4748,acanthurus auranticavus,fb,45,NA,NA,NA
4307,acanthurus bariene,fb,50,NA,NA,NA
4750,acanthurus blochii,fb,45,NA,NA,NA
943,acanthurus chirurgus,fb,39,NA,35,NA
6010,acanthurus chronixis,fb,28,NA,NA,NA
944,acanthurus coeruleus,fb,39,NA,25,NA
1256,acanthurus dussumieri,fb,54,NA,35,NA
4745,acanthurus fowleri,fb,45,NA,NA,NA
17471,acanthurus gahhm,fb,40,NA,NA,NA
4749,acanthurus grammoptilus,fb,35,NA,NA,NA
4736,acanthurus guttatus,fb,26,NA,NA,NA
23375,acanthurus japonicus,fb,21,NA,NA,NA
4741,acanthurus leucocheilus,fb,45,NA,NA,NA
4737,acanthurus leucopareius,fb,25,NA,NA,NA
1257,acanthurus leucosternon,fb,54,NA,19,NA
1258,acanthurus lineatus,fb,38,NA,25,NA
4746,acanthurus maculiceps,fb,40,NA,NA,NA
1255,acanthurus mata,fb,50,NA,NA,NA
1800,acanthurus monroviae,fb,45,NA,38,NA
6011,acanthurus nigricans,fb,21.299999237060547,NA,NA,NA
4747,acanthurus nigricauda,fb,40,NA,NA,NA
4739,acanthurus nigrofuscus,fb,21,NA,NA,NA
4738,acanthurus nigroris,fb,25,NA,NA,NA
4733,acanthurus nubilus,fb,26,NA,NA,NA
4744,acanthurus olivaceus,fb,35,NA,NA,NA
4732,acanthurus polyzona,fb,11,NA,NA,NA
4742,acanthurus pyroferus,fb,29,NA,NA,NA
3905,acanthurus randalli,fb,18,NA,NA,NA
58792,acanthurus reversus,fb,34,NA,NA,NA
4740,acanthurus sohal,fb,40,NA,NA,NA
1259,acanthurus tennentii,fb,31,NA,25,NA
4734,acanthurus thompsoni,fb,27,NA,NA,NA
942,acanthurus tractus,fb,38.099998474121094,NA,25,NA
1260,acanthurus triostegus,fb,27,NA,17,NA
12782,acanthurus tristis,fb,25,NA,NA,NA
1261,acanthurus xanthopterus,fb,70,NA,50,NA
23015,acantopsis dialuzona,fb,25,NA,NA,NA
68515,acantopsis dinema,fb,11.670000076293944,NA,NA,NA
68516,acantopsis ioa,fb,13.199999809265137,NA,NA,NA
23017,acantopsis octoactinotos,fb,9.600000381469728,NA,NA,NA
68514,acantopsis rungthipae,fb,11.970000267028809,NA,NA,NA
66460,acantopsis spectabilis,fb,30,NA,NA,NA
60780,acantopsis thiemmedhi,fb,11.760000228881836,NA,NA,NA
11272,acapoeta tanganicae,fb,61,NA,NA,NA
12258,acarichthys heckelii,fb,13.399999618530272,NA,NA,NA
59465,acarobythites larsonae,fb,2.5199999809265137,NA,NA,NA
12260,acaronia nassa,fb,15.399999618530272,NA,NA,NA
46568,acaronia vultuosa,fb,12.199999809265137,NA,NA,NA
17032,acentrogobius audax,fb,10,NA,NA,NA
4894,acentrogobius caninus,fb,18.299999237060547,NA,NA,NA
66879,acentrogobius cenderawasih,fb,NA,3.930000066757202,NA,NA
54133,acentrogobius chlorostigmatoides,fb,11,NA,NA,NA
25062,acentrogobius cyanomos,fb,11.5,NA,NA,NA
46432,acentrogobius dayi,fb,11,NA,NA,NA
56720,acentrogobius ennorensis,fb,5.800000190734863,NA,NA,NA
25229,acentrogobius griseus,fb,8,NA,NA,NA
23581,acentrogobius janthinopterus,fb,12.5,NA,NA,NA
68732,acentrogobius limarius,fb,3.380000114440918,2.809999942779541,NA,NA
23582,acentrogobius moloanus,fb,8,NA,NA,NA
7228,acentrogobius nebulosus,fb,18,NA,NA,NA
60013,acentrogobius pellidebilis,fb,7,NA,NA,NA
23585,acentrogobius pflaumii,fb,12,NA,NA,NA
9921,acentrogobius simplex,fb,10,NA,NA,NA
23587,acentrogobius suluensis,fb,3.299999952316284,NA,NA,NA
9922,acentrogobius therezieni,fb,10,NA,NA,NA
68735,acentrogobius vanderloosi,fb,4.769999980926514,4.519999980926514,NA,NA
68736,acentrogobius violarisi,fb,NA,3.009999990463257,NA,NA
15776,acentrogobius viridipunctatus,fb,16.5,NA,NA,NA
47798,acentronichthys leptos,fb,11,NA,NA,NA
66887,acentronura breviperula,fb,5,NA,NA,NA
16862,acentronura tentaculata,fb,6.300000190734863,NA,NA,NA
62231,acentrophryne dolichonema,fb,NA,10.5,NA,NA
59196,acentrophryne longidens,fb,NA,5,NA,NA
62136,acestridium colombiense,fb,4.949999809265137,NA,NA,NA
57630,acestridium dichromum,fb,6.300000190734863,NA,NA,NA
50557,acestridium discus,fb,6.699999809265137,NA,NA,NA
57632,acestridium martini,fb,6.699999809265137,NA,NA,NA
64041,acestridium triplax,fb,5.550000190734863,NA,NA,NA
63992,acestrocephalus acutus,fb,10.350000381469728,NA,NA,NA
52917,acestrocephalus anomalus,fb,20,NA,NA,NA
51805,acestrocephalus boehlkei,fb,13.5,NA,NA,NA
63986,acestrocephalus maculosus,fb,NA,7.900000095367432,NA,NA
63990,acestrocephalus nigrifasciatus,fb,9.300000190734863,NA,NA,NA
63995,acestrocephalus pallidus,fb,6.050000190734863,NA,NA,NA
53309,acestrocephalus sardina,fb,13.5,NA,NA,NA
63988,acestrocephalus stigmatus,fb,13.5,NA,NA,NA
52919,acestrorhynchus abbreviatus,fb,22,NA,NA,NA
51076,acestrorhynchus altus,fb,23.299999237060547,NA,NA,NA
52499,acestrorhynchus britskii,fb,16.5,NA,NA,NA
23498,acestrorhynchus falcatus,fb,30,NA,NA,NA
13123,acestrorhynchus falcirostris,fb,45,NA,NA,NA
51808,acestrorhynchus grandoculis,fb,10.800000190734863,NA,NA,NA
27261,acestrorhynchus heterolepis,fb,40.79999923706055,NA,NA,NA
52522,acestrorhynchus isalineae,fb,10.100000381469728,NA,NA,NA
51077,acestrorhynchus lacustris,fb,27,NA,NA,NA
52523,acestrorhynchus maculipinna,fb,7.900000095367432,NA,NA,NA
12336,acestrorhynchus microlepis,fb,37,NA,NA,NA
51809,acestrorhynchus minimus,fb,6.300000190734863,NA,NA,NA
51815,acestrorhynchus nasutus,fb,6.900000095367432,NA,NA,NA
52503,acestrorhynchus pantaneiro,fb,35.20000076293945,NA,NA,NA
11926,acheilognathus asmussii,fb,16,NA,5,NA
54928,acheilognathus barbatulus,fb,8.399999618530273,NA,NA,NA
55891,acheilognathus barbatus,fb,9,NA,4,NA
65965,acheilognathus changtingensis,fb,6.363999843597412,NA,NA,NA
66150,acheilognathus coreanus,fb,10,NA,NA,NA
11928,acheilognathus cyanostigma,fb,6,NA,NA,NA
48458,acheilognathus deignani,fb,5.199999809265137,NA,NA,NA
61167,acheilognathus elongatoides,fb,9.800000190734863,NA,NA,NA
9525,acheilognathus elongatus,fb,19.799999237060547,NA,7,NA
54711,acheilognathus gracilis,fb,5.599999904632568,NA,NA,NA
25606,acheilognathus hondae,fb,NA,NA,4,NA
55893,acheilognathus hypselonotus,fb,16.5,NA,NA,NA
55887,acheilognathus imberbis,fb,8,NA,6.699999809265137,NA
66125,acheilognathus intermedia,fb,13,NA,NA,NA
55149,acheilognathus longibarbatus,fb,9.199999809265137,NA,NA,NA
9528,acheilognathus longipinnis,fb,8,NA,NA,NA
58200,acheilognathus macromandibularis,fb,5.190000057220459,NA,NA,NA
54380,acheilognathus macropterus,fb,27.5,NA,NA,NA
59969,acheilognathus majusculus,fb,10.039999961853027,8.359999656677246,NA,NA
56321,acheilognathus meridianus,fb,11.899999618530272,NA,NA,NA
56320,acheilognathus microphysa,fb,6.75,NA,NA,NA
55890,acheilognathus omeiensis,fb,7.21999979019165,NA,NA,NA
55892,acheilognathus polylepis,fb,9.5,NA,NA,NA
22891,acheilognathus rhombeus,fb,13.5,NA,NA,NA
65458,acheilognathus striatus,fb,5.429999828338623,NA,NA,NA
22892,acheilognathus tabira,fb,7.929999828338623,NA,NA,NA
61857,acheilognathus taenianalis,fb,11.100000381469728,NA,NA,NA
54709,acheilognathus tonkinensis,fb,9.199999809265137,NA,NA,NA
25607,acheilognathus yamatsutae,fb,16,NA,NA,NA
25162,achiroides leucorhynchos,fb,8,NA,NA,NA
25164,achiroides melanorhynchus,fb,14,NA,NA,NA
7119,achiropsetta tricholepis,fb,39,NA,NA,NA
7572,achirus achirus,fb,37,NA,30,NA
52941,achirus declivis,fb,18.700000762939453,NA,NA,NA
13429,achirus klunzingeri,fb,23,NA,NA,NA
4256,achirus lineatus,fb,33.099998474121094,NA,17,NA
10429,achirus mazatlanus,fb,22.5,NA,15,NA
64929,achirus mucuri,fb,9.029999732971191,NA,NA,NA
57101,achirus novoae,fb,10.600000381469728,NA,NA,NA
13434,achirus scutum,fb,28,NA,13,NA
14420,achoerodus gouldii,fb,175,NA,NA,NA
50808,achoerodus viridis,fb,62,33,NA,NA
23608,achondrostoma arcasii,fb,25,NA,15,NA
62633,achondrostoma occidentale,fb,9.5,NA,NA,NA
23609,achondrostoma oligolepis,fb,25,NA,15,NA
63837,achondrostoma salmantinum,fb,6.820000171661377,8.0600004196167,NA,NA
56582,acinocheirodon melanogramma,fb,3.7699999809265137,NA,NA,NA
4683,acipenser baerii,fb,200,NA,NA,NA
2590,acipenser brevirostrum,fb,143,NA,50,NA
8737,acipenser dabryanus,fb,250,NA,31.799999237060547,NA
2591,acipenser fulvescens,fb,274,NA,97.5,NA
4712,acipenser gueldenstaedtii,fb,236,NA,145,NA
2592,acipenser medirostris,fb,270,NA,130,NA
9762,acipenser mikadoi,fb,150,NA,NA,NA
2504,acipenser naccarii,fb,200,NA,NA,NA
2505,acipenser nudiventris,fb,211,NA,132,NA
2593,acipenser oxyrinchus,fb,403,430,NA,250
9763,acipenser persicus,fb,255,NA,NA,NA
4604,acipenser ruthenus,fb,125,NA,40,NA
6085,acipenser schrenckii,fb,300,NA,NA,NA
8762,acipenser sinensis,fb,130,NA,39,NA
2065,acipenser stellatus,fb,250,NA,125,NA
2066,acipenser sturio,fb,600,NA,125,NA
2594,acipenser transmontanus,fb,610,NA,21,NA
26526,acnodon normani,fb,19.899999618530273,NA,NA,NA
28029,acnodon oligacanthus,fb,20,NA,NA,NA
52504,acnodon senai,fb,13.199999809265137,NA,NA,NA
24250,acreichthys hajam,fb,7,NA,NA,NA
7974,acreichthys radiatus,fb,7,NA,NA,NA
7849,acreichthys tomentosus,fb,14,NA,NA,NA
51078,acrobrycon ipanquianus,fb,12,NA,NA,NA
67891,acrobrycon ortii,fb,6.130000114440918,NA,NA,NA
67890,acrobrycon starnesi,fb,7.25,NA,NA,NA
2741,acrocheilus alutaceus,fb,30,NA,17.5,NA
23294,acrochordonichthys chamaeleon,fb,9.899999618530272,NA,NA,NA
58361,acrochordonichthys falcifer,fb,9.210000038146973,NA,NA,NA
58357,acrochordonichthys guttatus,fb,9.770000457763672,NA,NA,NA
61549,acrochordonichthys gyrinus,fb,10,NA,NA,NA
23295,acrochordonichthys ischnosoma,fb,10.100000381469728,NA,NA,NA
58358,acrochordonichthys mahakamensis,fb,8.319999694824219,NA,NA,NA
58362,acrochordonichthys pachyderma,fb,14.479999542236328,NA,NA,NA
23304,acrochordonichthys rugosus,fb,11,NA,NA,NA
58359,acrochordonichthys septentrionalis,fb,10.130000114440918,NA,NA,NA
58360,acrochordonichthys strigosus,fb,8.350000381469727,NA,NA,NA
58525,acromycter alcocki,fb,25.299999237060547,NA,NA,NA
58526,acromycter atlanticus,fb,29.5,NA,NA,NA
63064,acromycter longipectoralis,fb,NA,21.700000762939453,NA,NA
23291,acromycter nezumi,fb,40,NA,NA,NA
59893,acropoma argentistigma,fb,NA,10.75,NA,NA
59419,acropoma boholensis,fb,13.199999809265137,NA,NA,NA
9232,acropoma hanedai,fb,13.520000457763672,NA,NA,NA
1267,acropoma japonicum,fb,20,NA,NA,NA
59169,acropoma lecorneti,fb,35,NA,NA,NA
67353,acropoma profundum,fb,NA,4.010000228881836,NA,NA
54946,acrossocheilus beijiangensis,fb,13.100000381469728,NA,NA,NA
54949,acrossocheilus clivosius,fb,20,NA,NA,NA
55156,acrossocheilus fasciatus,fb,19.15999984741211,NA,NA,NA
54939,acrossocheilus hemispinus,fb,20,NA,NA,NA
54951,acrossocheilus ikedai,fb,10.720000267028809,NA,NA,NA
54948,acrossocheilus iridescens,fb,29.700000762939453,NA,NA,NA
60486,acrossocheilus jishouensis,fb,16.940000534057617,NA,NA,NA
55158,acrossocheilus kreyenbergii,fb,15.449999809265137,NA,16,NA
14442,acrossocheilus longipinnis,fb,10,NA,NA,NA
62843,acrossocheilus malacopterus,fb,15.289999961853027,NA,NA,NA
55155,acrossocheilus monticola,fb,18,NA,17.5,NA
67584,acrossocheilus multistriatus,fb,11.708999633789062,NA,NA,NA
17291,acrossocheilus paradoxus,fb,22.5,NA,11.699999809265137,NA
54938,acrossocheilus parallens,fb,21,NA,NA,NA
54947,acrossocheilus rendahli,fb,17.299999237060547,NA,NA,NA
62841,acrossocheilus spinifer,fb,15.289999961853027,NA,NA,NA
54940,acrossocheilus wenchowensis,fb,15.5,NA,NA,NA
65823,acrossocheilus wuyiensis,fb,15.899999618530272,NA,NA,NA
57688,acrossocheilus xamensis,fb,23.530000686645508,NA,NA,NA
14481,acrossocheilus yunnanensis,fb,26.299999237060547,NA,NA,NA
5509,acroteriobatus annulatus,fb,140,NA,NA,NA
7968,acroteriobatus blochii,fb,100,NA,NA,NA
5510,acroteriobatus leucospilus,fb,120,NA,NA,NA
15661,acroteriobatus ocellatus,fb,81,NA,NA,NA
68219,acroteriobatus omanensis,fb,60,NA,NA,NA
25240,acroteriobatus salalah,fb,78,NA,NA,NA
57445,acroteriobatus variegatus,fb,75,NA,NA,NA
57446,acroteriobatus zanzibarensis,fb,75,NA,NA,NA
644,aculeola nigra,fb,60,60,NA,NA
57913,acyrtops amplicirrus,fb,1.8600000143051147,NA,NA,NA
3073,acyrtops beryllinus,fb,2.5,NA,NA,NA
16662,acyrtus artius,fb,3,NA,NA,NA
67983,acyrtus lanthanum,fb,2.380000114440918,NA,NA,NA
62176,acyrtus pauciradiatus,fb,1.6299999952316284,NA,NA,NA
16677,acyrtus rubiginosus,fb,3.5,NA,NA,NA
23885,adelosebastes latens,fb,30,28.100000381469727,NA,NA
68806,adelotremus deloachi,fb,3.5,2.940000057220459,NA,NA
67382,adelotremus leptus,fb,NA,3.5399999618530273,NA,NA
27834,adontosternarchus balaenops,fb,25,NA,NA,NA
48021,adontosternarchus clarkae,fb,18.600000381469727,NA,NA,NA
27831,adontosternarchus devenanzii,fb,18.600000381469727,NA,NA,NA
67072,adontosternarchus duartei,fb,18.5,NA,NA,NA
64497,adontosternarchus nebulosus,fb,21.799999237060547,NA,NA,NA
48019,adontosternarchus sachsi,fb,32.20000076293945,NA,NA,NA
6261,adrianichthys kruyti,fb,16,NA,11,NA
6262,adrianichthys oophorus,fb,8.5,NA,6.5,NA
6263,adrianichthys poptae,fb,17.100000381469727,NA,NA,NA
62166,adrianichthys roseni,fb,9,NA,NA,NA
69391,aenigmachanna gollum,fb,9.020000457763672,NA,NA,NA
7986,aeoliscus punctulatus,fb,15,NA,NA,NA
6503,aeoliscus strigatus,fb,15,NA,NA,NA
46570,aequidens chimantanus,fb,10.199999809265137,NA,NA,NA
13108,aequidens diadema,fb,11.800000190734863,NA,NA,NA
51471,aequidens epae,fb,11.300000190734863,NA,NA,NA
51469,aequidens gerciliae,fb,12.800000190734863,9.739999771118164,NA,NA
50071,aequidens mauesanus,fb,13.399999618530272,NA,NA,NA
12273,aequidens metae,fb,12.5,NA,NA,NA
51472,aequidens michaeli,fb,20,NA,14,NA
46581,aequidens pallidus,fb,14.300000190734863,NA,NA,NA
47545,aequidens paloemeuensis,fb,9.5,NA,NA,NA
26733,aequidens patricki,fb,11.600000381469728,NA,NA,NA
46586,aequidens plagiozonatus,fb,10.300000190734863,NA,NA,NA
46594,aequidens potaroensis,fb,10,NA,NA,NA
52210,aequidens rondoni,fb,9.699999809265137,NA,NA,NA
12278,aequidens tetramerus,fb,16.200000762939453,NA,NA,NA
57663,aequidens tubicen,fb,11.600000381469728,NA,NA,NA
57661,aequidens viridis,fb,16.5,NA,NA,NA
7850,aesopia cornuta,fb,25,NA,NA,NA
12086,aetapcus maculatus,fb,21,NA,NA,NA
6441,aethaloperca rogaa,fb,60,NA,NA,NA
66721,aetheliparis taurocanis,fb,NA,3.200000047683716,NA,NA
7037,aethotaxis mitopteryx,fb,42,NA,NA,NA
8973,aetobatus flagellum,fb,72,NA,NA,NA
69023,aetobatus laticeps,fb,230,NA,NA,NA
1250,aetobatus narinari,fb,230,NA,140,NA
67276,aetobatus narutobiei,fb,100,150,NA,NA
12600,aetobatus ocellatus,fb,300,NA,180,NA
13200,aetomylaeus asperrimus,fb,79,NA,NA,NA
5011,aetomylaeus bovinus,fb,NA,222,150,NA
67984,aetomylaeus caeruleofasciatus,fb,59.099998474121094,59.20000076293945,NA,NA
12594,aetomylaeus maculatus,fb,200,NA,NA,NA
10120,aetomylaeus nichofii,fb,65,NA,NA,NA
12599,aetomylaeus vespertilio,fb,240,NA,NA,NA
9916,afronandus sheljuzhkoi,fb,4.199999809265137,NA,NA,NA
11077,afronemacheilus abyssinicus,fb,5.070000171661377,NA,NA,NA
67127,afronemacheilus kaffa,fb,5.53000020980835,NA,NA,NA
