db,spec_code,species,length,valid_name,aphia_id
fb,55,centrolabrus exoletus,13.099999904632568,NA,NA
fb,56,cepola macrophthalma,51.3,NA,NA
fb,57,chirolophis ascanii,25,NA,NA
fb,58,coris julis,16.8,NA,NA
fb,59,symphodus melops,21,NA,NA
fb,60,crystallogobius linearis,4.699999809265137,NA,NA
fb,61,ctenolabrus rupestris,15.599999904632568,NA,NA
fb,62,cyclopterus lumpus,57,NA,NA
fb,63,dicentrarchus labrax,53.75,NA,NA
fb,64,diplecogaster bimaculata,4.775,NA,NA
fb,65,echiodon drummondii,30,NA,NA
fb,66,engraulis encrasicolus,14.2,NA,NA
fb,67,entelurus aequoreus,45.5,NA,NA
fb,68,eutrigla gurnardus,26.4,NA,NA
fb,69,gadus morhua,74.06999969482422,NA,NA
fb,71,caranx hippos,73,NA,NA
fb,72,gobius niger,15,NA,NA
fb,73,gobius paganellus,11.1,NA,NA
fb,74,gobiusculus flavescens,5.75,NA,NA
fb,75,gymnammodytes semisquamatus,30,NA,NA
fb,76,helicolenus dactylopterus,32.25,NA,NA
fb,77,istiophorus platypterus,226.5,NA,NA
fb,78,istiophorus albicans,301.5,NA,NA
fb,79,ctenopharyngodon idella,71,NA,NA
fb,80,chanos chanos,71.9,NA,NA
fb,81,aphareus furca,42.55,NA,NA
fb,82,labeo rohita,60.5,NA,NA
fb,83,aphareus rutilans,78,NA,NA
fb,84,aprion virescens,84,NA,NA
fb,85,apsilus dentatus,54,NA,NA
fb,86,apsilus fuscus,63.85,NA,NA
fb,87,etelis carbunculus,83,NA,NA
fb,88,lamna nasus,247,NA,NA
fb,89,acanthocybium solandri,150.5,NA,NA
fb,90,cetorhinus maximus,980,NA,NA
fb,91,allothunnus fallai,98.5,NA,NA
fb,92,acanthostracion quadricornis,32,NA,NA
fb,93,auxis rochei,44.9,NA,NA
fb,94,auxis thazard,45,NA,NA
fb,95,cybiosarda elegans,43.25,NA,NA
fb,96,euthynnus affinis,59.5,NA,NA
fb,97,euthynnus alletteratus,83.19999694824219,NA,NA
fb,98,euthynnus lineatus,74.5,NA,NA
fb,99,alepisaurus ferox,72.30000305175781,NA,NA
fb,100,gasterochisma melampus,169.75,NA,NA
fb,101,alosa alosa,61,NA,NA
fb,102,conger esculentus,160,NA,NA
fb,103,grammatorcynus bicarinatus,112,NA,NA
fb,104,grammatorcynus bilineatus,65,NA,NA
fb,105,alosa immaculata,37.5,NA,NA
fb,106,gymnosarda unicolor,203,NA,NA
fb,107,katsuwonus pelamis,71,NA,NA
fb,108,orcynopsis unicolor,130,NA,NA
fb,109,rastrelliger brachysoma,23.45,NA,NA
fb,110,rastrelliger faughni,20,NA,NA
fb,111,rastrelliger kanagurta,24.899999618530273,NA,NA
fb,112,sarda australis,143.5,NA,NA
fb,113,sarda chiliensis,64.5,NA,NA
fb,114,sarda orientalis,95.5,NA,NA
fb,115,sarda sarda,66,NA,NA
fb,116,scomber australasicus,35.400000000000006,NA,NA
fb,117,scomber japonicus,36.5,NA,NA
fb,118,scomber scombrus,41.5,NA,NA
fb,119,scomberomorus brasiliensis,65.25,NA,NA
fb,120,scomberomorus cavalla,119,NA,NA
fb,121,scomberomorus commerson,146,NA,NA
fb,122,scomberomorus concolor,77,NA,NA
fb,123,scomberomorus guttatus,64,NA,NA
fb,124,scomberomorus koreanus,150,NA,NA
fb,125,scomberomorus lineolatus,94,NA,NA
fb,126,scomberomorus maculatus,67.25,NA,NA
fb,127,apogonichthyoides taeniatus,13.949999809265137,NA,NA
fb,128,scomberomorus multiradiatus,35,NA,NA
fb,129,scomberomorus munroi,103,NA,NA
fb,130,argyropelecus aculeatus,8.300000190734863,NA,NA
fb,131,scomberomorus niphonius,113.1999969482422,NA,NA
fb,132,scomberomorus plurilineatus,120,NA,NA
fb,133,scomberomorus queenslandicus,93,NA,NA
fb,134,scomberomorus regalis,43,NA,NA
fb,135,scomberomorus semifasciatus,104,NA,NA
fb,136,scomberomorus sierra,84,NA,NA
fb,137,scomberomorus sinensis,208.5,NA,NA
fb,138,somniosus microcephalus,417.5,NA,NA
fb,139,squalus acanthias,88,NA,NA
fb,140,pseudobatos percellens,64.7499984741211,NA,NA
fb,141,scomberomorus tritor,45.400001525878906,NA,NA
fb,142,thunnus alalunga,92.4,NA,NA
fb,143,thunnus albacares,167.5,NA,NA
fb,144,thunnus atlanticus,70,NA,NA
fb,145,thunnus maccoyii,203,NA,NA
fb,146,thunnus obesus,200,NA,NA
fb,147,thunnus thynnus,282,NA,NA
fb,148,thunnus tonggol,136,NA,NA
fb,149,pseudobatos planiceps,113.5,NA,NA
fb,150,lutjanus fuscescens,40,NA,NA
fb,151,lutjanus guilcheri,60,NA,NA
fb,152,lutjanus guttatus,73.8,NA,NA
fb,153,lutjanus inermis,34,NA,NA
fb,154,lutjanus jocu,60,NA,NA
fb,155,lutjanus jordani,60,NA,NA
fb,156,lutjanus kasmira,29.15,NA,NA
fb,157,lutjanus lemniscatus,45,NA,NA
fb,158,lutjanus lunulatus,40,NA,NA
fb,159,lutjanus lutjanus,26.5,NA,NA
fb,160,lutjanus madras,30,NA,NA
fb,161,lutjanus mahogoni,41.599998474121094,NA,NA
fb,162,lutjanus malabaricus,68.8499984741211,NA,NA
fb,164,lutjanus maxweberi,15,NA,NA
fb,165,lutjanus mizenkoi,32,NA,NA
fb,166,lutjanus monostigma,54.25,NA,NA
fb,167,callorhinchus capensis,68.29999923706055,NA,NA
fb,168,lutjanus notatus,25,NA,NA
fb,169,lutjanus novemfasciatus,40.7,NA,NA
fb,170,lutjanus peru,70.5,NA,NA
fb,171,lutjanus purpureus,47.099998474121094,NA,NA
fb,172,lutjanus quinquelineatus,30.85,NA,NA
fb,173,lutjanus rivulatus,76,NA,NA
fb,174,polyodon spathula,152,NA,NA
fb,175,elops saurus,38.15,NA,NA
fb,176,lutjanus russellii,38.5,NA,NA
fb,177,lutjanus sanguineus,78,NA,NA
fb,178,lutjanus sebae,74.9000015258789,NA,NA
fb,179,lutjanus semicinctus,35,NA,NA
fb,180,lutjanus stellatus,55,NA,NA
fb,181,lutjanus synagris,33.25,NA,NA
fb,182,lutjanus timoriensis,46,NA,NA
fb,183,lutjanus viridis,30,NA,NA
fb,184,lutjanus vitta,27.399999618530273,NA,NA
fb,185,lutjanus vivanus,54,NA,NA
fb,186,macolor macularis,59.1,NA,NA
fb,187,macolor niger,58.25,NA,NA
fb,188,ocyurus chrysurus,50,NA,NA
fb,189,paracaesio caerulea,50,NA,NA
fb,190,paracaesio gonzalesi,35.25,NA,NA
fb,191,paracaesio kusakarii,57,NA,NA
fb,192,paracaesio sordida,36.099998474121094,NA,NA
fb,193,paracaesio stonei,45,NA,NA
fb,194,paracaesio xanthura,37.14999961853027,NA,NA
fb,195,parapristipomoides squamimaxillaris,51.29999923706055,NA,NA
fb,196,pinjalo pinjalo,61,NA,NA
fb,198,pristipomoides aquilonaris,21.65,NA,NA
fb,199,pristipomoides argyrogrammicus,31.35,NA,NA
fb,200,pristipomoides auricilla,41.5,NA,NA
fb,201,pristipomoides filamentosus,64,NA,NA
fb,202,pristipomoides flavipinnis,50,NA,NA
fb,203,boops boops,25.600000381469727,NA,NA
fb,204,sarpa salpa,30.1,NA,NA
fb,205,pristipomoides freemani,23.299999237060547,NA,NA
fb,206,pristipomoides macrophthalmus,50,NA,NA
fb,207,bothus podas,20.55,NA,NA
fb,208,pristipomoides multidens,57.5,NA,NA
fb,209,pristipomoides sieboldii,53.1,NA,NA
fb,210,pristipomoides typus,67,NA,NA
fb,211,pristipomoides zonatus,47,NA,NA
fb,212,randallichthys filamentosus,57,NA,NA
fb,213,rhomboplites aurorubens,40.5,NA,NA
fb,214,symphorichthys spilurus,60,NA,NA
fb,215,symphorus nematophorus,96,NA,NA
fb,216,makaira nigricans,369,NA,NA
fb,217,istiompax indica,430,NA,NA
fb,218,makaira mazara,350.5,NA,NA
fb,219,kajikia albida,232,NA,NA
fb,220,tetrapturus pfluegeri,239.5,NA,NA
fb,222,tetrapturus georgii,184,NA,NA
fb,223,kajikia audax,281,NA,NA
fb,225,callionymus filamentosus,14.400000095367432,NA,NA
fb,226,xiphias gladius,219.5,NA,NA
fb,227,megalops cyprinoides,47,NA,NA
fb,228,albula vulpes,65,NA,NA
fb,229,nemoossis belloci,55,NA,NA
fb,230,alepocephalus bairdii,75,NA,NA
fb,231,coregonus albula,23,NA,NA
fb,232,coregonus lavaretus,50,NA,NA
fb,233,coregonus oxyrinchus,48.5,NA,NA
fb,234,coregonus clupeaformis,49.7,NA,NA
fb,235,coregonus artedi,31.95,NA,NA
fb,236,salmo salar,74.9000015258789,NA,NA
fb,237,clarias jaensis,48.29999923706055,clarias jaensis,1012373
fb,238,salmo trutta,23,NA,NA
fb,239,oncorhynchus mykiss,69.1,NA,NA
fb,240,oncorhynchus gorbuscha,63.25,NA,NA
fb,241,oncorhynchus keta,88,NA,NA
fb,242,oncorhynchus masou,47.1,NA,NA
fb,243,oncorhynchus nerka,68,NA,NA
fb,244,oncorhynchus tshawytscha,119,NA,NA
fb,245,oncorhynchus kisutch,102.9749984741211,NA,NA
fb,246,salvelinus fontinalis,67.5,NA,NA
fb,247,salvelinus alpinus,38.099998474121094,NA,NA
fb,248,salvelinus namaycush,42,salvelinus namaycush,567548
fb,249,centrolophus niger,69.75,NA,NA
fb,250,schedophilus ovalis,82.2,NA,NA
fb,251,plecoglossus altivelis,24,NA,NA
fb,252,mallotus villosus,15.699999809265137,NA,NA
fb,253,osmerus mordax,25.4,NA,NA
fb,254,hypomesus olidus,13,NA,NA
fb,255,hypomesus pretiosus,30.5,NA,NA
fb,256,thaleichthys pacificus,34,NA,NA
fb,257,glossanodon semifasciatus,21,NA,NA
fb,258,esox lucius,77.4,NA,NA
fb,259,lampanyctodes hectoris,7,NA,NA
fb,260,harpadon nehereus,30,NA,NA
fb,261,lutjanus fulviflamma,19,NA,NA
fb,262,lutjanus fulvus,26.700000762939453,NA,NA
fb,263,colossoma macropomum,101.5,NA,NA
fb,264,lutjanus johnii,70,NA,NA
fb,265,lutjanus gibbus,37.79999923706055,NA,NA
fb,266,lutjanus griseus,49,NA,NA
fb,268,abramis brama,40.5,NA,NA
fb,269,tinca tinca,35.79999923706055,NA,NA
fb,270,carassius carassius,31,NA,NA
fb,271,carassius auratus,26,NA,NA
fb,272,rutilus rutilus,25.2,NA,NA
fb,274,hypophthalmichthys molitrix,68.69999999999999,NA,NA
fb,275,hypophthalmichthys nobilis,73.4,NA,NA
fb,276,notemigonus crysoleucas,23.5,NA,NA
fb,277,osteochilus vittatus,25.9,osteochilus vittatus,1015115
fb,278,anchoa delicatissima,12,NA,NA
fb,279,anchoa curta,8.899999618530273,NA,NA
fb,280,anchoa eigenmannia,8,NA,NA
fb,281,rastrineobola argentea,7.3,NA,NA
fb,282,parabramis pekinensis,35.75,NA,NA
fb,283,pelecus cultratus,55,NA,NA
fb,285,megalobrama amblycephala,45.599998474121094,NA,NA
fb,286,barbonymus gonionotus,39.25,NA,NA
fb,288,galeichthys feliceps,34,NA,NA
fb,289,silurus glanis,195,NA,NA
fb,290,ictalurus punctatus,65.5,ictalurus punctatus,465537
fb,291,ameiurus melas,27.9,ameiurus melas,154205
fb,292,pangasius pangasius,79.85,NA,NA
fb,293,clarias fuscus,23.300000190734863,clarias fuscus,1022031
fb,295,anguilla japonica,78,NA,NA
fb,296,anguilla rostrata,83.4,NA,NA
fb,297,anguilla australis,108.25,NA,NA
fb,298,muraenesox cinereus,114.5,NA,NA
fb,299,conger orbignianus,116,NA,NA
fb,300,conger oceanicus,129.5,NA,NA
fb,301,conger conger,112.5,NA,NA
fb,302,conger myriaster,53.6,NA,NA
fb,303,cololabis saira,34,NA,NA
fb,305,hyporhamphus sajori,35.2,NA,NA
fb,306,salilota australis,50,NA,NA
fb,308,gadus macrocephalus,81,NA,NA
fb,310,lota lota,105,NA,NA
fb,311,urophycis brasiliensis,52.20000038146973,NA,NA
fb,312,urophycis chuss,26.899999618530273,NA,NA
fb,313,urophycis tenuis,45.5,NA,NA
fb,314,eleginus nawaga,31.399999618530273,NA,NA
fb,315,eleginus gracilis,52,NA,NA
fb,316,microgadus tomcod,38.099998474121094,NA,NA
fb,318,gadus chalcogrammus,64,NA,NA
fb,319,boreogadus saida,23,NA,NA
fb,320,micromesistius australis,53,NA,NA
fb,321,merluccius senegalensis,80.5,NA,NA
fb,322,merluccius australis,120,NA,NA
fb,323,merluccius bilinearis,23.200000762939453,NA,NA
fb,324,merluccius gayi gayi,87,merluccius gayi gayi,272453
fb,325,merluccius hubbsi,60,NA,NA
fb,326,merluccius productus,28.5,NA,NA
fb,327,merluccius polli,80,NA,NA
fb,329,macruronus magellanicus,115,NA,NA
fb,331,macrourus berglax,66.69999694824219,NA,NA
fb,332,coryphaenoides rupestris,51.25,NA,NA
fb,333,macroramphosus scolopax,14.7,NA,NA
fb,334,hoplostethus atlanticus,41.5,NA,NA
fb,336,zenopsis conchifer,56.8,NA,NA
fb,338,joturus pichardi,60,NA,NA
fb,339,menidia menidia,13.5,NA,NA
fb,340,eleutheronema tetradactylum,61.3,NA,NA
fb,341,galeoides decadactylus,34.5,NA,NA
fb,342,pentanemus quinquarius,23.55,NA,NA
fb,343,channa striata,52.5,NA,NA
fb,344,channa micropeltes,100,channa micropeltes,743381
fb,345,centropomus undecimalis,50.4,NA,NA
fb,346,lates calcarifer,100,NA,NA
fb,347,lates niloticus,74,lates niloticus,218165
fb,348,epinephelus analogus,114,NA,NA
fb,349,polyprion americanus,110,NA,NA
fb,350,polyprion oxygeneios,119.5,NA,NA
fb,351,acanthistius brasilianus,44.5,NA,NA
fb,352,paralabrax humeralis,50.6,NA,NA
fb,353,morone saxatilis,200,NA,NA
fb,354,lutjanus dodecacanthoides,30,NA,NA
fb,355,morone americana,53.75,NA,NA
fb,356,priacanthus macracanthus,28,NA,NA
fb,357,synagrops japonicus,27.5,NA,NA
fb,358,perca fluviatilis,22.9,NA,NA
fb,359,perca flavescens,18.399999618530273,NA,NA
fb,360,sander lucioperca,44.69,NA,NA
fb,361,centropristis striata,32.8,NA,NA
fb,362,lopholatilus chamaeleonticeps,103.5,NA,NA
fb,363,lactarius lactarius,24.5,NA,NA
fb,364,pomatomus saltatrix,36.5,NA,NA
fb,366,trachurus japonicus,31.700000762939453,NA,NA
fb,367,trachurus murphyi,52,NA,NA
fb,368,trachurus symmetricus,75,NA,NA
fb,369,trachurus lathami,17.4,NA,NA
fb,370,exyrias belissimus,15,NA,NA
fb,371,trachurus trecae,31.5,NA,NA
fb,372,trachurus declivis,46.5,NA,NA
fb,374,decapterus russelli,20.850000381469727,NA,NA
fb,375,exyrias ferrarisi,11,NA,NA
fb,376,clarias anguillaris,43,clarias anguillaris,581700
fb,377,exyrias puntang,15,NA,NA
fb,378,selene setapinnis,21.85,NA,NA
fb,379,selene dorsalis,38,NA,NA
fb,380,trachinotus carolinus,33.8,NA,NA
fb,381,seriola quinqueradiata,133,NA,NA
fb,382,seriola lalandi,200,NA,NA
fb,384,megalaspis cordyla,40.10000038146973,NA,NA
fb,385,chloroscombrus chrysurus,15.399999618530272,NA,NA
fb,386,parona signata,60,NA,NA
fb,387,selar crumenophthalmus,25,NA,NA
fb,388,selaroides leptolepis,17.8,NA,NA
fb,390,mene maculata,17.5,NA,NA
fb,391,brama brama,100,NA,NA
fb,392,arripis georgianus,41,arripis georgianus,279692
fb,394,dicentrarchus punctatus,60.5,NA,NA
fb,395,emmelichthys nitidus nitidus,26.100000381469727,emmelichthys nitidus nitidus,293589
fb,396,nemipterus virgatus,31.6,NA,NA
fb,397,isacia conceptionis,28.65,NA,NA
fb,398,plectorhinchus mediterraneus,55.3,NA,NA
fb,399,pomadasys argenteus,46.5,NA,NA
fb,400,brachydeuterus auritus,19.6,NA,NA
fb,401,conodon nobilis,24.5,NA,NA
fb,402,sillaginopsis panijus,23,NA,NA
fb,403,cynoscion analis,35.5,NA,NA
fb,405,cynoscion nebulosus,77.54999923706055,NA,NA
fb,406,cynoscion regalis,70,NA,NA
fb,407,cynoscion striatus,55.75,NA,NA
fb,408,micropogonias undulatus,25,NA,NA
fb,409,menticirrhus americanus,24,NA,NA
fb,410,menticirrhus saxatilis,46,NA,NA
fb,411,menticirrhus littoralis,34.5,NA,NA
fb,412,elagatis bipinnulata,70,NA,NA
fb,413,umbrina canosai,18.050000190734863,NA,NA
fb,416,larimichthys polyactis,23.050000190734863,NA,NA
fb,417,macrodon ancylodon,26.699999809265137,NA,NA
fb,418,argyrosomus regius,167,NA,NA
fb,419,argyrosomus hololepidotus,188,NA,NA
fb,420,atractoscion aequidens,90,NA,NA
fb,422,genyonemus lineatus,35.7,NA,NA
fb,423,pteroscion peli,19.7,NA,NA
fb,424,paralonchurus peruanus,28.85,NA,NA
fb,425,pogonias cromis,61.5,NA,NA
fb,426,epinephelus aeneus,67.5,NA,NA
fb,427,nibea mitsukurii,75,NA,NA
fb,428,larimichthys crocea,31.200000762939453,NA,NA
fb,429,leiostomus xanthurus,26.75,NA,NA
fb,432,pseudotolithus senegalensis,64,NA,NA
fb,433,pseudotolithus elongatus,32.599998474121094,NA,NA
fb,434,pennahia argentata,19.799999999999997,NA,NA
fb,435,anchoa januaria,7.860000133514404,NA,NA
fb,436,pagellus bellottii,19.5,NA,NA
fb,437,pagellus natalensis,31.25,NA,NA
fb,438,dentex macrophthalmus,31,NA,NA
fb,439,dentex dentex,56.25,NA,NA
fb,440,dentex angolensis,33.25,NA,NA
fb,441,archosargus probatocephalus,43.05,NA,NA
fb,442,argyrops spinifer,50,NA,NA
fb,443,argyrozona argyrozona,90,NA,NA
fb,444,cheimerius nufar,62,NA,NA
fb,445,pagrus major,52.1,NA,NA
fb,447,petrus rupestris,128.75,NA,NA
fb,448,pterogymnus laniarius,36.5,NA,NA
fb,449,rhabdosargus globiceps,50,NA,NA
fb,450,lithognathus lithognathus,54,NA,NA
fb,452,stenotomus chrysops,37,NA,NA
fb,453,pseudupeneus prayensis,39,NA,NA
fb,454,drepane punctata,38.5,NA,NA
fb,455,drepane africana,45,NA,NA
fb,456,lebetus scorpioides,4,NA,NA
fb,457,cichla ocellaris,29.5,NA,NA
fb,458,tautoga onitis,76,NA,NA
fb,459,lebetus guilleti,2.450000047683716,NA,NA
fb,460,nemadactylus bergi,44.239999771118164,NA,NA
fb,461,cheilodactylus variegatus,42.2,NA,NA
fb,463,arctoscopus japonicus,28,NA,NA
fb,464,parapercis colias,36.4,NA,NA
fb,465,percophis brasiliensis,68,NA,NA
fb,466,eleginops maclovinus,95.28,NA,NA
fb,467,dissostichus eleginoides,148.5,NA,NA
fb,468,notothenia rossii,68,NA,NA
fb,472,pleuragramma antarctica,20.75,NA,NA
fb,473,chaenocephalus aceratus,56,NA,NA
fb,474,champsocephalus gunnari,45.75,NA,NA
fb,475,pseudochaenichthys georgianus,53.5,NA,NA
fb,476,chionodraco rastrospinosus,47.5,NA,NA
fb,477,channichthys rhinoceratus,60,NA,NA
fb,478,chaenodraco wilsoni,43,NA,NA
fb,479,zoarces viviparus,34.599998474121094,NA,NA
fb,480,zoarces americanus,31.59999942779541,NA,NA
fb,481,trisopterus minutus,21.95,NA,NA
fb,482,genypterus blacodes,134,NA,NA
fb,483,genypterus chilensis,150,NA,NA
fb,484,genypterus maculatus,100,NA,NA
fb,485,genypterus capensis,142,NA,NA
fb,486,brotula barbata,94,NA,NA
fb,487,ammodytes personatus,15,NA,NA
fb,488,hypoptychus dybowskii,10,NA,NA
fb,489,thyrsites atun,110,NA,NA
fb,490,thyrsitops lepidopoides,39.1,NA,NA
fb,491,pampus argenteus,26.5,NA,NA
fb,492,peprilus triacanthus,21,NA,NA
fb,493,peprilus simillimus,23.25,NA,NA
fb,495,anabas testudineus,16.6,NA,NA
fb,496,hyperoglyphe antarctica,121.5,NA,NA
fb,497,psenopsis anomala,20.8,NA,NA
fb,498,osphronemus goramy,67.25,NA,NA
fb,499,trichopodus pectoralis,20.5,NA,NA
fb,500,helostoma temminckii,30,NA,NA
fb,501,sebastes norvegicus,50,NA,NA
fb,502,sebastes entomelas,36.5,NA,NA
fb,503,sebastes flavidus,45.5,NA,NA
fb,504,sebastes alutus,34.599998474121094,NA,NA
fb,505,sebastes mentella,43.099998474121094,NA,NA
fb,506,sebastes capensis,37,NA,NA
fb,507,chelidonichthys kumu,48,NA,NA
fb,508,pterygotrigla polyommata,46,NA,NA
fb,509,ophiodon elongatus,133,NA,NA
fb,510,pleurogrammus azonus,50,NA,NA
fb,512,anoplopoma fimbria,65,NA,NA
fb,513,psettodes erumei,48.5,NA,NA
fb,514,hippoglossus stenolepis,202,NA,NA
fb,516,reinhardtius hippoglossoides,90,NA,NA
fb,517,atheresthes stomias,64.5,NA,NA
fb,518,atheresthes evermanni,82,NA,NA
fb,519,hippoglossoides elassodon,48,NA,NA
fb,520,limanda aspera,35,NA,NA
fb,521,limanda ferruginea,28.34999942779541,NA,NA
fb,522,paraplagusia bilineata,31.6,NA,NA
fb,524,pseudopleuronectes americanus,32,NA,NA
fb,525,solea solea,31,NA,NA
fb,526,dicologlossa cuneata,25.35,NA,NA
fb,527,austroglossus microlepis,75,NA,NA
fb,528,austroglossus pectoralis,51,NA,NA
fb,529,scophthalmus rhombus,48.2,NA,NA
fb,530,scophthalmus aquosus,22.200000762939453,NA,NA
fb,531,stephanolepis cirrhifer,23,NA,NA
fb,532,lophius americanus,69.5,NA,NA
fb,534,anchoa panamensis,18.7,NA,NA
fb,535,anchoa parva,9.100000381469728,NA,NA
fb,536,anchoa pectoralis,6.800000190734863,NA,NA
fb,537,anchoa scofieldi,6.199999809265137,NA,NA
fb,538,anchoa spinifer,21,NA,NA
fb,539,anchoa starksi,7.699999809265137,NA,NA
fb,540,anchoa tricolor,14.899999618530272,NA,NA
fb,541,anchoa trinitatis,14,NA,NA
fb,542,anchoa walkeri,14.5,NA,NA
fb,543,anchovia clupeoides,16.950000000000003,NA,NA
fb,544,anchovia macrolepidota,20.5,NA,NA
fb,545,anchoa mitchilli,8.7,NA,NA
fb,546,anchovia surinamensis,12.05,NA,NA
fb,547,cetengraulis edentulus,14.900000095367432,NA,NA
fb,548,cetengraulis mysticetus,16,NA,NA
fb,549,jurengraulis juruensis,17.899999809265136,NA,NA
fb,550,pterengraulis atherinoides,21.6,NA,NA
fb,551,lycengraulis batesii,24.7,NA,NA
fb,552,lycengraulis grossidens,18.2,NA,NA
fb,553,lycengraulis poeyi,20.5,NA,NA
fb,554,amazonsprattus scintilla,2,NA,NA
fb,555,encrasicholina devisi,8.349999904632568,NA,NA
fb,556,encrasicholina heteroloba,9.5,NA,NA
fb,557,encrasicholina oligobranchus,6.199999809265137,NA,NA
fb,558,encrasicholina punctifer,11.100000381469728,NA,NA
fb,559,encrasicholina purpurea,6.15,NA,NA
fb,560,stolephorus advenus,7.199999809265137,NA,NA
fb,561,stolephorus andhraensis,5,NA,NA
fb,562,stolephorus apiensis,6,NA,NA
fb,563,stolephorus baganensis,10,NA,NA
fb,564,stolephorus carpentariae,6.049999952316284,NA,NA
fb,565,stolephorus chinensis,8.650000095367432,NA,NA
fb,566,stolephorus commersonnii,12.699999809265137,NA,NA
fb,567,stolephorus dubiosus,7.5,NA,NA
fb,568,stolephorus holodon,7.95,NA,NA
fb,569,stolephorus indicus,15.42,NA,NA
fb,570,anchoa mundeoloides,15,NA,NA
fb,571,stolephorus insularis,7,NA,NA
fb,572,labrus bergylta,44.25,NA,NA
fb,573,stolephorus multibranchus,6,NA,NA
fb,574,stolephorus nelsoni,8.850000143051147,NA,NA
fb,575,stolephorus pacificus,7.699999809265137,NA,NA
fb,576,stolephorus ronquilloi,5.300000190734863,NA,NA
fb,577,stolephorus tri,7.199999809265137,NA,NA
fb,578,stolephorus waitei,8.899999618530273,NA,NA
fb,580,thryssa adelae,11,NA,NA
fb,581,thryssa aestuaria,14,NA,NA
fb,582,thryssa baelama,11.800000190734863,NA,NA
fb,583,thryssa brevicauda,7.5,NA,NA
fb,584,thryssa chefuensis,12.199999809265137,NA,NA
fb,585,thryssa dayi,23.5,NA,NA
fb,586,thryssa dussumieri,11,NA,NA
fb,587,thryssa encrasicholoides,10.699999809265137,NA,NA
fb,588,thryssa gautamiensis,21.5,NA,NA
fb,589,thryssa hamiltonii,20.2,NA,NA
fb,590,thryssa kammalensis,12,NA,NA
fb,591,thryssa kammalensoides,11.199999809265137,NA,NA
fb,592,thryssa malabarica,17.5,NA,NA
fb,593,thryssa marasriae,6.900000095367432,NA,NA
fb,594,thryssa mystax,19,NA,NA
fb,595,thryssa polybranchialis,17.55,NA,NA
fb,596,thryssa purava,16.399999618530273,NA,NA
fb,597,thryssa rastrosa,12,thryssa rastrosa,1012586
fb,598,thryssa scratchleyi,40,NA,NA
fb,599,thryssa setirostris,15.5,NA,NA
fb,600,thryssa spinidens,16.5,NA,NA
fb,601,thryssa stenosoma,15,NA,NA
fb,602,thryssa vitrirostris,20,NA,NA
fb,603,thryssa whiteheadi,15.800000190734863,NA,NA
fb,604,lycothrissa crocodilus,30,NA,NA
fb,605,papuengraulis micropinna,12,NA,NA
fb,607,setipinna brevifilis,27.28,setipinna brevifilis,1021924
fb,608,setipinna melanochir,25,NA,NA
fb,609,setipinna paxtoni,11,NA,NA
fb,610,setipinna phasa,29.5,NA,NA
